source_mode,sample_seq,wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,vacc_m,fix_type,fix_valid,satellites,satellites_visible,gnss_ground_speed_mps,gnss_course_deg,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_sacc_mps,gnss_course_acc_deg,gnss_pdop,gnss_rate_hz,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,neo3_mag_x_ut,neo3_mag_y_ut,neo3_mag_z_ut,neo3_mag_norm_ut,neo3_node_id,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yah_mag_raw_x_lsb,yah_mag_raw_y_lsb,yah_mag_raw_z_lsb,yah_mag_corrected_x,yah_mag_corrected_y,yahboom_corrected_norm,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,gyro_integrated_yaw_deg,yaw_gnss_heading_deg,yaw_imu_orientation_deg,map_yaw_from_enu_deg,imu_acc_raw_x,imu_acc_raw_y,imu_acc_raw_z,imu_acc_x_mps2,imu_acc_y_mps2,imu_acc_z_mps2,imu_acc_norm_mps2,imu_gyro_raw_x,imu_gyro_raw_y,imu_gyro_raw_z,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_gyro_x_rps,imu_gyro_y_rps,imu_gyro_z_rps,gyro_z_rps,imu_angle_raw_roll,imu_angle_raw_pitch,imu_angle_raw_yaw,imu_roll_deg,imu_pitch_deg,imu_accgyro_yaw_deg,baro_pressure_pa,baro_temperature_k,neo3_crc_ok,yahboom_checksum_ok,bad_neo3_crc,bad_yahboom_checksum,f4_line_count,gnss_count,neo3_mag_count,imu_acc_count,imu_gyro_count,imu_angle_count,imu_mag_count,raw_message_count,raw_reference
ROS_TOPICS,1,1789497755319972182,2026-09-15T18:42:35.319972+00:00,1789497755319979935,4258569690143,1789497755319979935,1789497755,319979935,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu_ros,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_calibrated_ros,0,nan,nan,nan,nan,-1,nan,yahboom_calibrated_ros,0,nan,nan,nan,nan,nan,nan,nan,logger_gyro_integral:none,0,nan,nan,nan,0.0,,,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,,,,0.0,0.0,nan,nan,nan,,,,,,0,0,0,0,0,0,0,ROS topics=0 messages=0
ROS_TOPICS,2,1789497755519942401,2026-09-15T18:42:35.519942+00:00,1789497755519949493,4258769660381,1789497755519949493,1789497755,519949493,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu_ros,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_calibrated_ros,0,nan,nan,nan,nan,-1,nan,yahboom_calibrated_ros,0,nan,nan,nan,nan,nan,nan,nan,logger_gyro_integral:none,0,nan,nan,nan,0.0,,,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,,,,0.0,0.0,nan,nan,nan,,,,,,0,0,0,0,0,0,0,ROS topics=0 messages=0
ROS_TOPICS,3,1789497755772340886,2026-09-15T18:42:35.772341+00:00,1789497755772346971,4259022058559,1789497755772346971,1789497755,772346971,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu_ros,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_calibrated_ros,0,nan,nan,nan,nan,-1,nan,yahboom_calibrated_ros,0,nan,nan,nan,nan,nan,nan,nan,logger_gyro_integral:none,0,nan,nan,nan,0.0,,,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,,,,0.0,0.0,nan,nan,nan,,,,,,0,0,0,0,0,0,0,ROS topics=46 messages=0
ROS_TOPICS,4,1789497755920183542,2026-09-15T18:42:35.920184+00:00,1789497755920192109,4259169901888,1789497755920192109,1789497755,920192109,-1,-1,-1,-1,-1,193.40479093613126,129.57338020007904,nav2_filtered_map,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_calibrated_ros,0,nan,nan,nan,nan,-1,nan,yahboom_calibrated_ros,0,nan,nan,nan,nan,nan,nan,nan,logger_gyro_integral:none,0,nan,nan,nan,0.0,,,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,,,,0.0,0.0,nan,nan,nan,,,,,,0,0,0,0,0,0,7,ROS topics=46 messages=7
ROS_TOPICS,5,1789497756135516737,2026-09-15T18:42:36.135517+00:00,1789497756135523973,4259385234469,1789497756000000000,1789497756,0,-1,-1,-1,-1,4,191.88022409855512,128.64969638940494,nav2_filtered_map,-0.0,0.0,110.4351128,-7.0508327,250.131,10.112,10.639,3,1,10,-1,0.4005,34.007,0.332,0.224,0.207,1.905,180.0,2.0996,4.98,88.49365375235662,/neo3/mag_heading_fusion,1,25.1709,-2.93732,-32.5928,41.28550190360291,-1,86.68584265312164,yahboom_calibrated_ros,1,3103.0,1414.0,4010.0,0.9058279207027269,-0.06505121510302661,0.9081607140319415,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.076614453125,-0.49320554199218747,9.792284790039062,9.810778222304014,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,nan,nan,,,,,,1,5,10,10,0,11,108,ROS topics=56 messages=108
ROS_TOPICS,6,1789497756319991324,2026-09-15T18:42:36.319991+00:00,1789497756319995256,4259569708851,1789497756200000000,1789497756,200000000,7593952,1789497756209103,1789497756200000,2,4,190.29478388476412,127.537568385788,nav2_filtered_map,0.05524377753899965,0.06635722389271038,110.4351133,-7.0508321,250.091,10.09,10.633,3,1,10,0,0.3051,62.259,0.142,0.27,-0.194,1.1128,180.0,-1.0,5.012,88.38882377845337,/neo3/mag_heading_fusion,1,25.1221,-3.00446,-32.5684,41.241330808566296,1,86.5862594828487,yahboom_calibrated_ros,1,3130.0,1424.0,4017.0,0.9097232334796606,-0.06361575452105628,0.9119448041169884,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.086191259765625,-0.5123591552734374,9.792284790039062,9.811839674052814,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98640.445,33.60000000000002,,,,,,2,10,20,20,0,21,220,ROS topics=56 messages=220
ROS_TOPICS,7,1789497756520109452,2026-09-15T18:42:36.520110+00:00,1789497756520115956,4259769827225,1789497756400000000,1789497756,400000000,7594152,1789497756409312,1789497756400000,2,4,188.75573302732312,126.38191731900748,nav2_filtered_map,0.11048755534236043,0.12165491001163446,110.4351138,-7.0508316,250.08100000000002,10.075,10.633,3,1,10,0,0.2612,78.518,0.052,0.256,-0.151,1.2488,180.0,-1.0,5.01,88.52395753797924,/neo3/mag_heading_fusion,1,25.146499999999996,-2.91595,-32.5439,41.23050634981943,1,86.48943760097251,yahboom_calibrated_ros,1,3118.0,1437.0,3997.0,0.9080227595126107,-0.061832751385780406,0.9101256072305801,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.1005564697265625,-0.5027823486328125,9.787496386718749,9.806696740496102,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98640.141,33.60000000000002,,,,,,3,15,30,30,0,31,331,ROS topics=56 messages=331
ROS_TOPICS,8,1789497756720008816,2026-09-15T18:42:36.720009+00:00,1789497756720012498,4259969726333,1789497756600000000,1789497756,600000000,7594353,1789497756609622,1789497756600000,2,4,187.2716147096506,125.19263222720508,nav2_filtered_map,0.18782884517988935,0.18801213312320322,110.4351145,-7.050831,250.071,10.059,10.636,3,1,10,0,0.4598,82.628,0.059,0.456,-0.068,1.409,175.579,-1.0,5.005,88.38387602162452,/neo3/mag_heading_fusion,1,25.146499999999996,-3.00903,-32.5439,41.2371937818385,1,86.55000819937261,yahboom_calibrated_ros,1,3124.0,1429.0,4018.0,0.9088703501387698,-0.06293242687582627,0.9110465431106423,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.1197100830078125,-0.47884033203125,9.777919580078125,9.796144830866764,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98638.0,33.60000000000002,,,,,,4,20,40,40,0,41,443,ROS topics=56 messages=443
ROS_TOPICS,9,1789497756920055010,2026-09-15T18:42:36.920055+00:00,1789497756920060558,4260169772823,1789497756800000000,1789497756,800000000,7594552,1789497756808747,1789497756800000,2,4,185.84260298936084,123.96365175252153,nav2_filtered_map,0.22097511587279683,0.14377398612848916,110.4351148,-7.0508314,250.161,10.044,10.645,3,1,10,0,0.4108,158.432,-0.382,0.151,-0.912,2.4992,180.0,-1.0,5.008,88.45922737460849,/neo3/mag_heading_fusion,1,25.1709,-2.96021,-32.5684,41.267877684878584,1,86.68899853653463,yahboom_calibrated_ros,1,3133.0,1411.0,4019.0,0.9101311506485454,-0.06541463580052684,0.9124789235690657,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.1005564697265625,-0.51714755859375,9.782707983398437,9.802663409127218,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98642.883,33.60000000000002,,,,,,5,25,50,50,0,51,558,ROS topics=56 messages=558
ROS_TOPICS,10,1789497757144932623,2026-09-15T18:42:37.144933+00:00,1789497757144939397,4260394650275,1789497757000000000,1789497757,0,7594759,1789497757015463,1789497757000000,2,4,184.4818181551031,122.73680859966838,nav2_filtered_map,0.2651701369350373,0.23225028269145492,110.4351152,-7.0508306,250.091,10.075,10.695,3,1,10,0,0.5026,345.245,0.486,-0.128,0.361,2.4343,180.0,-1.0,4.981,88.30151974087522,/neo3/mag_heading_fusion,1,25.1221,-3.06244,-32.5928,41.26486470356591,1,86.60208562337249,yahboom_calibrated_ros,1,3107.0,1424.0,4005.0,0.9064200327732388,-0.06365633200066494,0.9086525212733513,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.11013327636718749,-0.51714755859375,9.797073193359374,9.817109538294542,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98641.664,33.60000000000002,,,,,,6,30,60,60,0,61,699,ROS topics=74 messages=699
ROS_TOPICS,11,1789497757320042554,2026-09-15T18:42:37.320043+00:00,1789497757320046504,4260569759998,1789497757200000000,1789497757,200000000,7594951,1789497757207857,1789497757200000,2,4,183.18965860836138,121.52856099505644,nav2_filtered_map,0.33146266733879387,0.4092028730029359,110.4351158,-7.050829,250.0,10.115,10.753,3,1,9,0,0.5211,21.739999999999995,0.484,0.193,0.663,3.0898,180.0,-1.0,5.015,88.58876444720077,/neo3/mag_heading_fusion,1,25.1221,-2.8717,-32.6172,41.27042894300954,1,86.65525205824675,yahboom_calibrated_ros,1,3112.0,1417.0,4004.0,0.9071257702156235,-0.06461898911401603,0.909424420577876,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.1005564697265625,-0.5219359619140624,9.792284790039062,9.812480277976508,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98643.188,33.60000000000002,,,,,,7,35,70,70,0,71,862,ROS topics=74 messages=862
ROS_TOPICS,12,1789497757520073186,2026-09-15T18:42:37.520073+00:00,1789497757520077733,4260769790825,1789497757400000000,1789497757,400000000,7595151,1789497757407949,1789497757400000,2,4,181.96746833010852,120.34422894937518,nav2_filtered_map,0.4419502085885323,0.6303935899586127,110.4351168,-7.050827,249.75,10.152,10.805,3,1,9,0,0.8798,25.662000000000006,0.793,0.381,1.303,2.9034,180.0,-1.0,5.013,88.50372807812312,/neo3/mag_heading_fusion,1,25.1221,-2.92816,-32.5928,41.255116546140066,1,86.58796059597633,yahboom_calibrated_ros,1,3104.0,1426.0,4018.0,0.9059927089836715,-0.06338405948551926,0.9082072052832633,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.105344873046875,-0.49799394531249996,9.787496386718749,9.806501757164028,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98640.445,33.60000000000002,,,,,,8,40,80,80,0,81,1030,ROS topics=74 messages=1030
ROS_TOPICS,13,1789497757720079719,2026-09-15T18:42:37.720080+00:00,1789497757720083843,4260969797188,1789497757600000000,1789497757,600000000,7595351,1789497757607657,1789497757600000,2,4,180.8086822787111,119.18123281302078,nav2_filtered_map,0.5192914854253529,0.8073461584974931,110.4351175,-7.0508254,249.61,10.192,10.854,3,1,9,0,0.683,14.240000000000009,0.662,0.168,0.733,2.6561,180.0,-1.0,5.011,88.50743071944294,/neo3/mag_heading_fusion,1,25.1709,-2.92816,-32.6416,41.32338778894586,1,86.70762225364194,yahboom_calibrated_ros,1,3118.0,1410.0,4017.0,0.9079751250800265,-0.06557988198912329,0.9103403477193556,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.09576806640624999,-0.507570751953125,9.777919580078125,9.79733292455376,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98642.273,33.60000000000002,,,,,,9,45,90,90,0,91,1192,ROS topics=74 messages=1192
ROS_TOPICS,14,1789497757920388513,2026-09-15T18:42:37.920389+00:00,1789497757920390435,4261170105696,1789497757800000000,1789497757,800000000,7595551,1789497757807746,1789497757800000,2,4,179.71704900862983,118.05049977246657,nav2_filtered_map,0.5855840044457707,0.9953582571619823,110.4351181,-7.0508237,249.481,10.229,10.903,3,1,9,0,0.598,12.850999999999999,0.583,0.133,0.736,2.6671,180.0,-1.0,5.009,88.42978963240435,/neo3/mag_heading_fusion,1,25.1465,-2.97852,-32.5928,41.27358302207842,1,86.70934569350162,yahboom_calibrated_ros,1,3127.0,1409.0,4017.0,0.9092659176399477,-0.06570278645986721,0.9116366409541726,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.09576806640624999,-0.507570751953125,9.792284790039062,9.811678141493612,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98640.445,33.60000000000002,,,,,,10,50,100,100,0,101,1358,ROS topics=74 messages=1358
ROS_TOPICS,15,1789497758122144051,2026-09-15T18:42:38.122144+00:00,1789497758122148390,4261371861619,1789497758000000000,1789497758,0,7595758,1789497758014477,1789497758000000,2,4,178.6663373422364,116.93982287445525,nav2_filtered_map,0.5966327479310982,1.1391322008176272,110.4351182,-7.0508224,249.33100000000002,10.265,10.946,3,1,9,0,0.7172,347.437,0.7,-0.156,0.612,2.2819,180.0,-1.0,4.983,88.40261745125706,/neo3/mag_heading_fusion,1,25.1221,-2.9953,-32.5928,41.25993628618445,1,86.60070488600083,yahboom_calibrated_ros,1,3109.0,1424.0,4027.0,0.9067072676172755,-0.06365280352417722,0.9089388035211574,88.42978963240435,logger_gyro_integral:neo3_calibrated_ros,1,88.42978963240435,nan,155.94543457031253,0.0,,,,-0.105344873046875,-0.5027823486328125,9.792284790039062,9.811528290907273,,,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,,,2.960815429687499,-0.5712890625,155.94543457031253,98639.523,33.60000000000002,,,,,,11,55,110,110,0,111,1521,ROS topics=74 messages=1521
