t_s,phase,cmd_erpm,actual_erpm,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,odom_x,odom_y,estop,ready,feedback
0.04339149499992345,baseline,0,0.0,0.001,0.019,-0.048,0.019026297590440448,0.0,0.0,False,True,True
0.08367349499985721,baseline,0,0.0,0.001,0.019,-0.048,0.019026297590440448,0.0,0.0,False,True,True
0.12381386600009137,baseline,0,0.0,0.001,0.019,-0.048,0.019026297590440448,0.0,0.0,False,True,True
0.17910630400001537,baseline,0,0.0,0.013,0.001,0.014,0.013038404810405297,0.0,0.0,False,True,True
0.21945321200018952,baseline,0,0.0,0.013,0.001,0.014,0.013038404810405297,0.0,0.0,False,True,True
0.2638361810004426,baseline,0,0.0,0.012,0.022,-0.008,0.025059928172283336,0.0,0.0,False,True,True
0.3194185940001262,baseline,0,0.0,0.012,0.022,-0.008,0.025059928172283336,0.0,0.0,False,True,True
0.3628999720003776,baseline,0,0.0,-0.001,0.023,-0.002,0.023021728866442676,0.0,0.0,False,True,True
0.4202560960002302,baseline,0,0.0,-0.001,0.023,-0.002,0.023021728866442676,0.0,0.0,False,True,True
0.4631185630005348,baseline,0,0.0,-0.034,-0.033,0.032,0.04738143096192854,0.0,0.0,False,True,True
0.504055272000187,baseline,0,0.0,-0.034,-0.033,0.032,0.04738143096192854,0.0,0.0,False,True,True
0.5590660380003101,baseline,0,0.0,0.04,0.005,0.001,0.04031128874149275,0.0,0.0,False,True,True
0.5995208969998203,baseline,0,0.0,0.04,0.005,0.001,0.04031128874149275,0.0,0.0,False,True,True
0.6439072120001583,baseline,0,0.0,-0.03,0.011,0.012,0.03195309061734091,0.0,0.0,False,True,True
0.6992396410005313,baseline,0,0.0,-0.03,0.011,0.012,0.03195309061734091,0.0,0.0,False,True,True
0.7395553349997499,baseline,0,0.0,-0.021,-0.021,0.029,0.029698484809835,0.0,0.0,False,True,True
0.7847624460000588,baseline,0,0.0,-0.021,-0.021,0.029,0.029698484809835,0.0,0.0,False,True,True
0.8373256720005884,baseline,0,0.0,0.022,0.022,-0.036,0.03111269837220809,0.0,0.0,False,True,True
0.8790627560001667,baseline,0,0.0,0.022,0.022,-0.036,0.03111269837220809,0.0,0.0,False,True,True
0.9195854079998753,baseline,0,0.0,0.022,0.022,-0.036,0.03111269837220809,0.0,0.0,False,True,True
0.964213166999798,baseline,0,0.0,-0.002,0.018,0.066,0.01811077027627483,0.0,0.0,False,True,True
1.020551964000333,baseline,0,0.0,-0.002,0.018,0.066,0.01811077027627483,0.0,0.0,False,True,True
1.0631703010003548,baseline,0,0.0,-0.04,0.006,0.067,0.04044749683231337,0.0,0.0,False,True,True
1.1196162679998451,baseline,0,0.0,-0.04,0.006,0.067,0.04044749683231337,0.0,0.0,False,True,True
1.1598212549997697,baseline,0,0.0,0.005,-0.01,-0.01,0.011180339887498949,0.0,0.0,False,True,True
1.199986868000451,baseline,0,0.0,0.005,-0.01,-0.01,0.011180339887498949,0.0,0.0,False,True,True
