time_iso,gnss_mps,right_erpm,yaw_rate_rps,yaw_error_to_goal_rad,goal_distance_m
2026-09-18T00:14:17.043,nan,nan,nan,nan,nan
2026-09-18T00:14:17.243,nan,nan,nan,nan,nan
2026-09-18T00:14:17.443,nan,nan,nan,nan,nan
2026-09-18T00:14:17.643,nan,nan,nan,nan,nan
2026-09-18T00:14:17.843,nan,nan,nan,nan,nan
2026-09-18T00:14:18.043,nan,nan,nan,nan,nan
2026-09-18T00:14:18.243,nan,nan,nan,nan,nan
2026-09-18T00:14:18.443,nan,nan,nan,nan,nan
2026-09-18T00:14:18.643,nan,nan,nan,nan,nan
2026-09-18T00:14:18.843,nan,nan,nan,nan,nan
2026-09-18T00:14:19.043,nan,nan,nan,nan,nan
2026-09-18T00:14:19.243,nan,nan,nan,nan,nan
2026-09-18T00:14:19.443,nan,nan,nan,nan,nan
2026-09-18T00:14:19.643,nan,nan,nan,nan,nan
2026-09-18T00:14:19.843,nan,nan,nan,nan,nan
2026-09-18T00:14:20.043,nan,nan,nan,nan,nan
2026-09-18T00:14:20.243,nan,nan,nan,nan,nan
2026-09-18T00:14:20.443,nan,nan,nan,nan,nan
2026-09-18T00:14:20.643,nan,nan,nan,nan,nan
2026-09-18T00:14:20.843,nan,nan,nan,nan,nan
2026-09-18T00:14:21.043,nan,nan,nan,nan,nan
2026-09-18T00:14:21.243,nan,nan,nan,nan,nan
2026-09-18T00:14:21.443,nan,nan,nan,nan,nan
2026-09-18T00:14:21.643,nan,nan,nan,nan,nan
2026-09-18T00:14:21.843,nan,nan,nan,nan,nan
2026-09-18T00:14:22.043,nan,nan,nan,nan,nan
2026-09-18T00:14:22.243,nan,0.000,nan,nan,nan
2026-09-18T00:14:22.444,nan,0.000,0.000000,nan,nan
2026-09-18T00:14:22.643,0.015300,0.000,0.000000,nan,nan
2026-09-18T00:14:22.843,0.026000,0.000,0.000000,nan,nan
2026-09-18T00:14:23.043,0.036100,0.000,0.000000,nan,nan
2026-09-18T00:14:23.243,0.050700,0.000,0.000000,nan,nan
2026-09-18T00:14:23.443,0.033300,0.000,0.000000,nan,nan
2026-09-18T00:14:23.643,0.035000,0.000,0.000000,nan,nan
2026-09-18T00:14:23.843,0.014900,0.000,0.000000,nan,nan
2026-09-18T00:14:24.043,0.018200,0.000,0.000000,nan,nan
2026-09-18T00:14:24.243,0.031400,0.000,0.000000,nan,nan
2026-09-18T00:14:24.443,0.004000,0.000,0.000000,nan,nan
2026-09-18T00:14:24.643,0.005000,0.000,0.000000,nan,nan
2026-09-18T00:14:24.843,0.015600,0.000,0.000000,nan,nan
2026-09-18T00:14:25.043,0.047000,0.000,0.000000,nan,nan
2026-09-18T00:14:25.243,0.052000,0.000,0.000000,nan,nan
2026-09-18T00:14:25.443,0.017900,0.000,0.000000,nan,nan
2026-09-18T00:14:25.643,0.048500,0.000,0.000000,nan,nan
2026-09-18T00:14:25.843,0.051900,0.000,0.000000,nan,nan
2026-09-18T00:14:26.043,0.008100,0.000,0.000000,nan,nan
2026-09-18T00:14:26.243,0.024200,0.000,0.000000,nan,nan
2026-09-18T00:14:26.443,0.027500,0.000,0.000000,nan,nan
2026-09-18T00:14:26.643,0.056700,0.000,0.000000,nan,nan
2026-09-18T00:14:26.843,0.013900,0.000,0.000000,nan,nan
2026-09-18T00:14:27.043,0.050000,0.000,0.000000,nan,nan
2026-09-18T00:14:27.243,0.010000,0.000,0.000000,nan,nan
2026-09-18T00:14:27.443,0.016600,0.000,0.000000,nan,nan
2026-09-18T00:14:27.643,0.056100,0.000,0.000000,nan,nan
2026-09-18T00:14:27.843,0.044000,0.000,0.000000,nan,nan
2026-09-18T00:14:28.043,0.026500,0.000,0.000000,nan,nan
2026-09-18T00:14:28.243,0.004100,0.000,0.000000,nan,nan
2026-09-18T00:14:28.443,0.023300,0.000,0.000000,nan,nan
2026-09-18T00:14:28.643,0.042400,0.000,0.000000,nan,nan
2026-09-18T00:14:28.843,0.043200,0.000,0.000000,nan,nan
2026-09-18T00:14:29.043,0.035500,0.000,0.000000,nan,nan
2026-09-18T00:14:29.243,0.003000,0.000,0.000000,nan,nan
2026-09-18T00:14:29.443,0.007000,0.000,0.000000,nan,nan
2026-09-18T00:14:29.643,0.023300,0.000,0.000000,nan,nan
2026-09-18T00:14:29.843,0.031000,0.000,0.000000,nan,nan
2026-09-18T00:14:30.043,0.044900,0.000,0.000000,nan,nan
2026-09-18T00:14:30.243,0.052900,0.000,0.000000,nan,nan
2026-09-18T00:14:30.443,0.015800,0.000,0.000000,nan,nan
2026-09-18T00:14:30.643,0.007300,0.000,0.000000,nan,nan
2026-09-18T00:14:30.843,0.053500,0.000,0.000000,nan,nan
2026-09-18T00:14:31.043,0.013000,0.000,0.000000,nan,nan
2026-09-18T00:14:31.243,0.068200,0.000,0.000000,nan,nan
2026-09-18T00:14:31.443,0.035300,0.000,0.000000,nan,nan
2026-09-18T00:14:31.643,0.031100,0.000,0.000000,nan,nan
2026-09-18T00:14:31.843,0.021900,0.000,0.000000,nan,nan
2026-09-18T00:14:32.043,0.037500,0.000,0.000000,nan,nan
2026-09-18T00:14:32.243,0.035800,0.000,0.000000,nan,nan
2026-09-18T00:14:32.443,0.028300,0.000,0.000000,nan,nan
2026-09-18T00:14:32.643,0.054800,0.000,0.000000,nan,nan
2026-09-18T00:14:32.843,0.045300,0.000,0.000000,nan,nan
2026-09-18T00:14:33.043,0.048700,0.000,0.000000,nan,nan
