t_s,phase,cmd_erpm,actual_erpm,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,odom_x,odom_y,estop,ready,feedback
0.040243233000182954,baseline,0,0.0,-0.058,-0.014,-0.041,0.059665735560705195,1.0809957875861251,0.0,False,True,True
0.08084576700002799,baseline,0,0.0,-0.058,-0.014,-0.041,0.059665735560705195,1.0809957875861251,0.0,False,True,True
0.12377455299974827,baseline,0,0.0,-0.021,0.018,-0.025,0.02765863337187866,1.0809957875861251,0.0,False,True,True
0.16415720999975747,baseline,0,0.0,-0.021,0.018,-0.025,0.02765863337187866,1.0809957875861251,0.0,False,True,True
0.20512479599983635,baseline,0,0.0,-0.013,-0.034,-0.029,0.03640054944640259,1.0809957875861251,0.0,False,True,True
0.2604698669993013,baseline,0,0.0,-0.013,-0.034,-0.029,0.03640054944640259,1.0809957875861251,0.0,False,True,True
0.3028812579996156,baseline,0,0.0,-0.049,0.031,0.046,0.0579827560572969,1.0809957875861251,0.0,False,True,True
0.34371405399997457,baseline,0,0.0,-0.049,0.031,0.046,0.0579827560572969,1.0809957875861251,0.0,False,True,True
0.3839029049995588,baseline,0,0.0,-0.049,0.031,0.046,0.0579827560572969,1.0809957875861251,0.0,False,True,True
0.4243319289998908,baseline,0,0.0,0.017,-0.033,-0.026,0.037121422386541175,1.0809957875861251,0.0,False,True,True
0.4649242819996289,baseline,0,0.0,0.017,-0.033,-0.026,0.037121422386541175,1.0809957875861251,0.0,False,True,True
0.519996541999717,baseline,0,0.0,-0.047,-0.006,0.018,0.04738143096192853,1.0809957875861251,0.0,False,True,True
0.5639093069994487,baseline,0,0.0,-0.047,-0.006,0.018,0.04738143096192853,1.0809957875861251,0.0,False,True,True
0.6199262989994168,baseline,0,0.0,-0.029,0.025,-0.016,0.038288379438153296,1.0809957875861251,0.0,False,True,True
0.6606007569998837,baseline,0,0.0,-0.029,0.025,-0.016,0.038288379438153296,1.0809957875861251,0.0,False,True,True
0.7038205729995752,baseline,0,0.0,0.031,-0.001,-0.007,0.031016124838541645,1.0809957875861251,0.0,False,True,True
0.7440911759995288,baseline,0,0.0,0.031,-0.001,-0.007,0.031016124838541645,1.0809957875861251,0.0,False,True,True
0.7950768430000608,baseline,0,0.0,-0.013,-0.025,-0.009,0.028178005607210743,1.0809957875861251,0.0,False,True,True
0.8399716289995922,baseline,0,0.0,-0.013,-0.025,-0.009,0.028178005607210743,1.0809957875861251,0.0,False,True,True
0.880332228000043,baseline,0,0.0,-0.013,-0.025,-0.009,0.028178005607210743,1.0809957875861251,0.0,False,True,True
0.9237438860000111,baseline,0,0.0,-0.066,-0.008,-0.017,0.06648308055437865,1.0809957875861251,0.0,False,True,True
0.9645061849996637,baseline,0,0.0,-0.066,-0.008,-0.017,0.06648308055437865,1.0809957875861251,0.0,False,True,True
1.0050964100000783,baseline,0,0.0,-0.001,0.018,-0.001,0.018027756377319945,1.0809957875861251,0.0,False,True,True
1.0602623819995642,baseline,0,0.0,-0.001,0.018,-0.001,0.018027756377319945,1.0809957875861251,0.0,False,True,True
1.1005144900000232,baseline,0,0.0,-0.012,0.004,0.002,0.012649110640673518,1.0809957875861251,0.0,False,True,True
1.1444484529993133,baseline,0,0.0,-0.012,0.004,0.002,0.012649110640673518,1.0809957875861251,0.0,False,True,True
1.1932513550000294,baseline,0,0.0,0.022,-0.016,0.033,0.027202941017470887,1.0809957875861251,0.0,False,True,True
1.2399236209994342,baseline,0,0.0,0.022,-0.016,0.033,0.027202941017470887,1.0809957875861251,0.0,False,True,True
1.2819691499998953,baseline,0,0.0,0.022,-0.016,0.033,0.027202941017470887,1.0809957875861251,0.0,False,True,True
1.323753441000008,baseline,0,0.0,-0.034,-0.014,0.033,0.03676955262170047,1.0809957875861251,0.0,False,True,True
1.3812646739997945,baseline,0,0.0,-0.034,-0.014,0.033,0.03676955262170047,1.0809957875861251,0.0,False,True,True
1.423871457000132,baseline,0,0.0,-0.009,0.007,0.029,0.011401754250991379,1.0809957875861251,0.0,False,True,True
1.4819366389992865,baseline,0,0.0,-0.009,0.007,0.029,0.011401754250991379,1.0809957875861251,0.0,False,True,True
1.5242323299999043,baseline,0,0.0,0.011,-0.015,-0.069,0.018601075237738275,1.0809957875861251,0.0,False,True,True
1.5818067549998887,baseline,0,0.0,0.011,-0.015,-0.069,0.018601075237738275,1.0809957875861251,0.0,False,True,True
1.6242271000000983,baseline,0,0.0,-0.001,0.025,0.038,0.02501999200639361,1.0809957875861251,0.0,False,True,True
1.6831429429994387,baseline,0,0.0,-0.001,0.025,0.038,0.02501999200639361,1.0809957875861251,0.0,False,True,True
1.7239501829999426,baseline,0,0.0,0.025,0.003,0.075,0.025179356624028343,1.0809957875861251,0.0,False,True,True
1.7807511569999406,baseline,0,0.0,0.025,0.003,0.075,0.025179356624028343,1.0809957875861251,0.0,False,True,True
1.824006422999446,baseline,0,0.0,-0.037,-0.019,-0.063,0.04159326868617084,1.0809957875861251,0.0,False,True,True
1.8804809349994684,baseline,0,0.0,-0.037,-0.019,-0.063,0.04159326868617084,1.0809957875861251,0.0,False,True,True
1.9247367729994949,baseline,0,0.0,-0.007,-0.009,0.041,0.011401754250991379,1.0809957875861251,0.0,False,True,True
1.9816798849997213,baseline,0,0.0,-0.007,-0.009,0.041,0.011401754250991379,1.0809957875861251,0.0,False,True,True
2.0235241959999257,baseline,0,0.0,-0.025,0.018,0.004,0.030805843601498725,1.0809957875861251,0.0,False,True,True
5.050005711382255e-07,run,-1000.0,0.0,-0.025,0.018,0.004,0.030805843601498725,1.0809957875861251,0.0,False,True,True
0.057788150000305905,run,-1000.0,0.0,0.015,-0.008,-0.103,0.017,1.0809957875861251,0.0,False,True,True
0.10132988300028956,run,-1000.0,0.0,0.015,-0.008,-0.103,0.017,1.0809957875861251,0.0,False,True,True
0.1575658060000933,run,-1000.0,0.0,-0.036,0.004,0.063,0.03622154055254966,1.0809957875861251,0.0,False,True,True
0.20102820900046936,run,-1000.0,-291.0,-0.036,0.004,0.063,0.03622154055254966,1.0809957875861251,0.0,False,True,True
0.2567818180004906,run,-1000.0,-264.0,-0.007,-0.044,0.034,0.044553338819890924,1.0788798332805,0.0,False,True,True
0.29717545400035306,run,-1000.0,-344.0,-0.007,-0.044,0.034,0.044553338819890924,1.077349194777125,0.0,False,True,True
