t_s,map_x,map_y,map_yaw,map_vx,local_x,local_y,local_yaw,local_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,goal_state,estop,ready,feedback,gate,imu_yaw,neo_yaw
0.040977632999783964,125.99529561665761,101.50740161469642,-0.08502935867236694,0.04321248732829377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,-0.054,0.051,0.05510898293381942,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5144800262293636
0.08148053400054778,125.9967873695782,101.50128528026181,-0.08588539180767228,0.042964436566082655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.039,-0.039,0.03905124837953327,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5085411625835419
0.12190916899999138,125.9967873695782,101.50128528026181,-0.08588539180767228,0.042964436566082655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.039,-0.039,0.03905124837953327,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5114316435084543
0.1619758990000264,125.99794714945766,101.49609970990174,-0.08706656745729278,0.042425024045562844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.016,0.027,0.016278820596099707,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.51467139158179
0.21102987300037057,125.99794714945766,101.49609970990174,-0.08706656745729278,0.042425024045562844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.016,0.027,0.016278820596099707,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5165602613576117
0.2519704360001924,125.99881270076631,101.49175454397208,-0.08853664350056079,0.04163971408982992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,-0.013,-0.026,0.019849433241279208,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5153820160424063
0.2922474200004217,125.99881270076631,101.49175454397208,-0.08853664350056079,0.04163971408982992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,-0.013,-0.026,0.019849433241279208,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5080782620328772
0.34151789099996677,125.99881270076631,101.49175454397208,-0.08853664350056079,0.04163971408982992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,-0.013,-0.026,0.019849433241279208,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5107940564292475
0.3818852229996992,125.99942147690182,101.48815638153297,-0.0902576839512319,0.04064756142622624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,-0.009,-0.036,0.049819674828324605,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5113876341656567
0.42198176300007617,125.99942147690182,101.48815638153297,-0.0902576839512319,0.04064756142622624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,-0.009,-0.036,0.049819674828324605,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.5148802845087332
0.46205589800047164,126.00187087660572,101.48315394260862,-0.09087477055689464,0.04099557008643135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,-0.013,0.007,0.0147648230602334,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,,False,True,True,True,,1.515550974264471
