time_iso,gnss_mps,right_erpm,yaw_rate_rps,yaw_error_to_goal_rad,goal_distance_m
2026-09-18T00:54:12.232,nan,nan,nan,nan,nan
2026-09-18T00:54:12.432,nan,nan,nan,nan,nan
2026-09-18T00:54:12.632,nan,nan,nan,nan,nan
2026-09-18T00:54:12.832,nan,nan,nan,nan,nan
2026-09-18T00:54:13.032,nan,nan,nan,nan,nan
2026-09-18T00:54:13.232,nan,nan,nan,nan,nan
2026-09-18T00:54:13.432,nan,nan,nan,nan,nan
2026-09-18T00:54:13.632,nan,nan,nan,nan,nan
2026-09-18T00:54:13.832,nan,nan,nan,nan,nan
2026-09-18T00:54:14.032,nan,nan,nan,nan,nan
2026-09-18T00:54:14.232,nan,nan,nan,nan,nan
2026-09-18T00:54:14.432,nan,nan,nan,nan,nan
2026-09-18T00:54:14.632,nan,nan,nan,nan,nan
2026-09-18T00:54:14.832,nan,nan,nan,nan,nan
2026-09-18T00:54:15.032,nan,nan,nan,nan,nan
2026-09-18T00:54:15.232,nan,nan,nan,nan,nan
2026-09-18T00:54:15.432,nan,nan,nan,nan,nan
2026-09-18T00:54:15.632,nan,nan,nan,nan,nan
2026-09-18T00:54:15.832,nan,nan,nan,nan,nan
2026-09-18T00:54:16.032,nan,nan,nan,nan,nan
2026-09-18T00:54:16.232,nan,nan,nan,nan,nan
2026-09-18T00:54:16.432,nan,nan,nan,nan,nan
2026-09-18T00:54:16.632,nan,nan,nan,nan,nan
2026-09-18T00:54:16.832,nan,nan,nan,nan,nan
2026-09-18T00:54:17.032,nan,nan,0.000000,nan,nan
2026-09-18T00:54:17.232,nan,nan,0.000000,nan,nan
2026-09-18T00:54:17.432,nan,nan,0.000000,nan,nan
2026-09-18T00:54:17.632,nan,0.000,0.000000,nan,nan
2026-09-18T00:54:17.832,nan,0.000,0.000000,nan,nan
2026-09-18T00:54:18.032,0.015000,0.000,0.000000,nan,nan
2026-09-18T00:54:18.232,0.040600,0.000,0.000000,nan,nan
2026-09-18T00:54:18.432,0.007300,0.000,0.000000,nan,nan
2026-09-18T00:54:18.632,0.044600,0.000,0.000000,nan,nan
2026-09-18T00:54:18.832,0.016100,0.000,0.000000,nan,nan
2026-09-18T00:54:19.032,0.085400,0.000,0.000000,nan,nan
2026-09-18T00:54:19.232,0.027200,0.000,0.000000,nan,nan
2026-09-18T00:54:19.432,0.058200,0.000,0.000000,nan,nan
2026-09-18T00:54:19.632,0.022800,0.000,0.000000,nan,nan
2026-09-18T00:54:19.832,0.044600,0.000,0.000000,nan,nan
2026-09-18T00:54:20.032,0.070000,0.000,0.000000,nan,nan
2026-09-18T00:54:20.232,0.051900,0.000,0.000000,nan,nan
2026-09-18T00:54:20.432,0.084900,0.000,0.000000,nan,nan
2026-09-18T00:54:20.632,0.025700,0.000,0.000000,nan,nan
2026-09-18T00:54:20.832,0.017500,0.000,0.000000,nan,nan
2026-09-18T00:54:21.032,0.052100,0.000,0.000000,nan,nan
2026-09-18T00:54:21.232,0.063000,0.000,0.000000,nan,nan
2026-09-18T00:54:21.432,0.020500,0.000,0.000000,nan,nan
2026-09-18T00:54:21.632,0.047500,0.000,0.000000,nan,nan
2026-09-18T00:54:21.832,0.007200,0.000,0.000000,nan,nan
2026-09-18T00:54:22.032,0.028000,0.000,0.000000,nan,nan
2026-09-18T00:54:22.232,0.058500,0.000,0.000000,nan,nan
2026-09-18T00:54:22.432,0.039200,0.000,0.000000,nan,nan
2026-09-18T00:54:22.632,0.041800,0.000,0.000000,nan,nan
2026-09-18T00:54:22.832,0.066500,0.000,0.000000,nan,nan
2026-09-18T00:54:23.032,0.028200,0.000,0.000000,nan,nan
2026-09-18T00:54:23.232,0.049200,0.000,0.000000,nan,nan
2026-09-18T00:54:23.432,0.024200,0.000,0.000000,nan,nan
2026-09-18T00:54:23.632,0.008100,0.000,0.000000,nan,nan
2026-09-18T00:54:23.832,0.030500,0.000,0.000000,nan,nan
2026-09-18T00:54:24.032,0.022600,0.000,0.000000,nan,nan
2026-09-18T00:54:24.232,0.046200,0.000,0.000000,nan,nan
2026-09-18T00:54:24.432,0.049500,0.000,0.000000,nan,nan
2026-09-18T00:54:24.632,0.019200,0.000,0.000000,nan,nan
2026-09-18T00:54:24.832,0.045000,0.000,0.000000,nan,nan
2026-09-18T00:54:25.032,0.116500,0.000,0.000000,nan,nan
2026-09-18T00:54:25.232,0.032400,0.000,0.000000,nan,nan
2026-09-18T00:54:25.432,0.051100,0.000,0.000000,nan,nan
2026-09-18T00:54:25.632,0.054800,0.000,-0.085221,nan,nan
2026-09-18T00:54:25.832,0.068000,0.000,0.011718,nan,nan
2026-09-18T00:54:26.032,0.032500,0.000,-0.004261,nan,nan
2026-09-18T00:54:26.232,0.074800,0.000,0.004261,nan,nan
2026-09-18T00:54:26.432,0.026900,0.000,-0.004261,nan,nan
2026-09-18T00:54:26.632,0.002000,0.000,-0.004261,nan,nan
2026-09-18T00:54:26.832,0.036700,0.000,0.000000,nan,nan
2026-09-18T00:54:27.032,0.012600,0.000,-0.002131,nan,nan
