wall_time_s,x_ut,y_ut,z_ut,norm_ut,roll_deg,pitch_deg,target_face,observed_face,accepted_for_fit,fit_reason
1789616067.9027448,-21.935999999999996,-30.3467,-23.937999999999995,44.442526265841366,-2.9113769531250004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616067.9408984,-21.9116,-30.3955,-23.9014,44.444139734840185,-2.9058837890625004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616067.9820268,-21.9238,-30.2734,-24.2676,44.5651002889032,-2.9058837890625004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616068.0210462,-21.826199999999996,-30.444299999999995,-24.0479,44.51449093654784,-2.9058837890625004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616068.060987,-21.7285,-30.5176,-23.6938,44.32660352937049,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.1017025,-21.838399999999996,-30.3711,-23.877,44.37826673913707,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.140909,-21.960399999999996,-30.322299999999995,-24.2432,44.60306930795234,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.1808858,-21.8628,-30.2734,-23.8403,44.303732071801804,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.2209973,-22.070299999999996,-30.322299999999995,-23.7549,44.39409074854444,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.2609386,-21.8994,-30.444299999999995,-24.072299999999995,44.563603424094865,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.3010066,-21.875,-30.3467,-24.084499999999995,44.49158309320988,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.3409235,-21.960399999999996,-30.297899999999995,-23.877,44.38843364627772,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.3820484,-21.960399999999996,-30.2246,-23.8281,44.31211981986418,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.421952,-21.9116,-30.419899999999995,-24.084499999999995,44.559529517489295,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.462155,-21.9116,-30.419899999999995,-23.8525,44.434561850208446,-2.9003906249999996,3.6804199218750004,LEVEL,LEVEL,True,OK
1789616068.5021248,-21.875,-30.2734,-23.8525,44.31631898984842,-2.9003906249999996,3.6804199218750004,LEVEL,LEVEL,True,OK
1789616068.542007,-21.8628,-30.2734,-23.815899999999996,44.29060695237761,-2.9003906249999996,3.6804199218750004,LEVEL,LEVEL,True,OK
1789616068.582027,-21.826199999999996,-30.2246,-23.7915,44.22606611320975,-2.9003906249999996,3.6804199218750004,LEVEL,LEVEL,True,OK
1789616068.6229827,-21.7896,-30.468799999999998,-23.999,44.486924400322394,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.6621425,-21.9116,-30.419899999999995,-23.9136,44.467390248697974,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.7023625,-21.8872,-30.3955,-24.0234,44.49786165255584,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.741943,-21.6675,-30.590799999999998,-24.3652,44.70951321508656,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.7820468,-21.9238,-30.3955,-24.0479,44.5291019570348,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.8219845,-22.1802,-30.322299999999995,-23.9258,44.540398010906905,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.8620753,-21.9116,-30.468799999999998,-23.9136,44.500856766583716,-2.9003906249999996,3.6804199218750004,LEVEL,LEVEL,True,OK
1789616068.9025445,-21.813999999999997,-30.5176,-24.4263,44.76403285507239,-2.9113769531250004,3.680419921875,LEVEL,LEVEL,True,OK
1789616068.94292,-21.9238,-30.4932,-24.0601,44.60242891020623,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616068.983024,-22.1436,-30.3467,-24.1333,44.650614673708574,-2.9058837890625004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616069.0240185,-21.8872,-30.444299999999995,-23.9014,44.46551302177902,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616069.0639775,-21.582,-30.542,-24.230999999999998,44.5616185635127,-2.9113769531250004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616069.1051574,-21.826199999999996,-30.4932,-24.0356,44.54131026406834,-2.9058837890625004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616069.145052,-21.826199999999996,-30.542,-24.0356,44.57473317699165,-2.9058837890625004,3.6859130859375004,LEVEL,LEVEL,True,OK
1789616069.1850796,-21.7896,-30.566399999999998,-24.0479,44.580185862443415,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616069.2260845,-21.960399999999996,-30.4932,-24.0356,44.60722454670319,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616069.2661076,-21.8994,-30.468799999999998,-24.072299999999995,44.580344560018816,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
1789616069.3061733,-21.9116,-30.419899999999995,-24.0601,44.54634600705202,-2.9058837890624996,3.680419921874999,LEVEL,LEVEL,True,OK
