wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,gnss_cog_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,yah_mag_norm_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788877090.2535477,1788877090247022851,WAIT_STATIC,0,-173.2763671875,nan,nan,0,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03430606877744605,9.783677343579082,9.8066024438805,nan,nan,nan,nan,nan,nan,nan,nan
1788877090.288004,1788877090263465346,STATIC_CANDIDATE,0,-173.2763671875,170.10805285064347,nan,0,170.4399434828963,nan,-0.0,-0.0,0.0,0.0,0.659700581820543,0.04388287541807105,9.774100536938457,9.796436692521928,898.0,5550.0,3698.0,6729.346773647499,48.9,15.6,51.6,72.78138498270008
1788877090.3167021,1788877090284069370,STATIC_CANDIDATE,0,-173.2763671875,170.10805285064347,170.35121692809352,0,170.4399434828963,nan,-0.0,-0.0,0.0,0.0,0.6549121785002305,0.04867127873838355,9.774100536938457,9.796138022767062,897.0,5543.0,3691.0,6719.593663310305,48.9,15.6,51.6,72.78138498270008
1788877090.3195896,1788877090303974181,STATIC_CANDIDATE,0,-173.2763671875,170.10807852964348,170.35621834056315,0,170.20360405960471,nan,-0.0,-0.0,0.0,0.0,0.659700581820543,0.03909447209775855,9.774100536938457,9.796416413239262,897.0,5533.0,3679.0,6704.754954508032,48.9,15.299999999999999,51.29999999999999,72.50510326866655
1788877090.3274198,1788877090323523923,STATIC_CANDIDATE,0,-173.2763671875,170.14690509364362,170.19326168125502,0,170.20360405960471,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.774100536938457,9.797065984601442,898.0,5539.0,3668.0,6703.8160028449465,48.9,15.299999999999999,51.29999999999999,72.50510326866655
1788877090.343838,1788877090343184750,STATIC_CANDIDATE,0,-173.2763671875,170.1674057346437,170.1980378322201,0,170.20360405960471,nan,-0.0,-0.0,0.0,0.0,0.659700581820543,0.04388287541807105,9.788465746899394,9.81076919729702,909.0,5551.0,3698.0,6731.6480894354545,48.9,15.299999999999999,51.29999999999999,72.50510326866655
1788877090.3641698,1788877090363369525,STATIC_CANDIDATE,0,-173.2763671875,170.18412226364376,170.37365117510183,0,170.43421463407486,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.783677343579082,9.806620364004953,917.0,5542.0,3706.0,6729.71685882846,48.9,15.6,50.4,71.93559619548586
1788877090.3845935,1788877090383203941,STATIC_CANDIDATE,0,-173.2763671875,170.2222423796439,170.37387997291003,0,170.43421463407486,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.03909447209775855,9.783677343579082,9.806294731058452,917.0,5543.0,3713.0,6734.397300427114,48.9,15.6,50.4,71.93559619548586
1788877090.4039106,1788877090403176903,STATIC_CANDIDATE,0,-173.2763671875,170.2230431736439,170.3797394330149,0,170.43421463407486,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.03909447209775855,9.769312133618145,9.791962701786646,910.0,5541.0,3719.0,6735.112619696867,48.9,15.6,50.4,71.93559619548586
1788877090.4236567,1788877090423169380,STATIC_CANDIDATE,0,-173.2763671875,170.24355132264398,170.4632421632715,0,170.5367248941627,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.03430606877744605,9.783677343579082,9.806276810338934,903.0,5543.0,3711.0,6731.402454169562,48.6,15.6,50.699999999999996,71.94310251858757
1788877090.4438703,1788877090443171643,STATIC_CANDIDATE,0,-173.2763671875,170.2795350716441,170.46427294356545,0,170.5367248941627,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.783677343579082,9.806314989912936,903.0,5542.0,3698.0,6723.420037451178,48.6,15.6,50.699999999999996,71.94310251858757
1788877090.4648147,1788877090463207754,STATIC_CANDIDATE,0,-173.2763671875,170.30329181564417,170.4756053503404,0,170.5367248941627,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.778888940258769,9.801537645902492,911.0,5531.0,3707.0,6720.396640080107,48.6,15.6,50.699999999999996,71.94310251858757
1788877090.4848583,1788877090483200170,STATIC_CANDIDATE,0,-173.2763671875,170.30329181564417,170.4756053503404,0,170.5367248941627,nan,-0.0,-0.0,0.0,0.0,0.6549121785002305,0.03909447209775855,9.788465746899394,9.810428126107404,907.0,5537.0,3718.0,6730.86487756217,48.6,15.6,50.699999999999996,71.94310251858757
1788877090.5048778,1788877090503181482,STATIC_CANDIDATE,0,-173.2763671875,170.32280633864423,170.31164601901884,0,170.29806152063685,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04867127873838355,9.774100536938457,9.79678293170407,910.0,5544.0,3710.0,6732.617321666218,48.6,15.299999999999999,50.1,71.45670017570082
1788877090.523768,1788877090523173693,STATIC_CANDIDATE,0,-173.2763671875,170.34560726664432,170.30695039393382,0,170.29806152063685,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.769312133618145,9.792309099161397,905.0,5538.0,3690.0,6715.993522927192,48.6,15.299999999999999,50.1,71.45670017570082
1788877090.5436585,1788877090543188397,STATIC_CANDIDATE,0,-173.2763671875,170.32917257764427,170.3382702989737,0,170.3426099474837,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03430606877744605,9.774100536938457,9.79704804700074,910.0,5527.0,3681.0,6702.655443926683,49.2,15.6,51.89999999999999,73.19569659481355
1788877090.5638285,1788877090563185110,STATIC_CANDIDATE,0,-173.2763671875,170.32742117764428,170.33901922125267,0,170.3426099474837,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,907.0,5534.0,3694.0,6715.165001695788,49.2,15.6,51.89999999999999,73.19569659481355
1788877090.5857532,1788877090583198411,STATIC_CANDIDATE,0,-173.2763671875,170.3300424056443,170.3426099474837,0,170.3426099474837,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.05345968205869605,9.793254150219706,9.815917196053299,917.0,5543.0,3697.0,6725.588970491729,49.2,15.6,51.89999999999999,73.19569659481355
1788877090.6067867,1788877090603190788,STATIC_CANDIDATE,0,-173.2763671875,170.3426099474837,170.16852242640994,0,170.1060989640152,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.03909447209775855,9.783677343579082,9.806294731058452,922.0,5539.0,3694.0,6721.327324271598,49.2,15.299999999999999,51.29999999999999,72.70777124902125
