state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
STATIC_1,1,3274.0,369.0,3628.0,23.3765,5.35889,-28.4912
STATIC_1,1,3275.0,362.0,3622.0,23.3765,5.32532,-28.4424
STATIC_1,1,3273.0,360.0,3617.0,23.4253,5.2948,-28.5156
STATIC_1,1,3263.0,393.0,3613.0,23.3643,5.28564,-28.4668
STATIC_1,1,3268.0,386.0,3634.0,23.4009,5.27954,-28.54
STATIC_1,1,3273.0,380.0,3631.0,23.3765,5.26733,-28.4668
STATIC_1,1,3268.0,366.0,3600.0,23.3887,5.33447,-28.4424
STATIC_1,1,3250.0,370.0,3630.0,23.3521,5.47485,-28.3936
STATIC_1,1,3255.0,396.0,3620.0,23.3521,5.3833,-28.3936
STATIC_1,1,3262.0,372.0,3622.0,23.3765,5.50232,-28.3936
STATIC_1,1,3254.0,371.0,3614.0,23.3643,5.34363,-28.4668
STATIC_1,1,3262.0,373.0,3625.0,23.3765,5.43518,-28.3691
STATIC_1,1,3268.0,374.0,3603.0,23.4131,5.3772,-28.4912
STATIC_2,2,2127.0,5620.0,3521.0,19.6411,-22.2656,-30.0781
STATIC_2,2,2126.0,5611.0,3490.0,19.6655,-22.1436,-30.0293
STATIC_2,2,2117.0,5611.0,3499.0,19.6899,-22.168,-29.9805
STATIC_2,2,2117.0,5600.0,3514.0,19.6899,-22.1436,-30.0293
STATIC_2,2,2148.0,5591.0,3507.0,19.6899,-22.1558,-30.0049
STATIC_2,2,2127.0,5602.0,3507.0,19.6899,-22.0093,-29.9805
STATIC_2,2,2119.0,5589.0,3571.0,19.6777,-22.1802,-30.0293
STATIC_2,2,2113.0,5595.0,3490.0,19.7021,-22.0581,-29.9561
STATIC_2,2,2102.0,5603.0,3561.0,19.6899,-22.1558,-30.1025
STATIC_2,2,2118.0,5602.0,3490.0,19.6777,-22.1069,-29.9561
STATIC_2,2,2130.0,5617.0,3404.0,19.7144,-22.1802,-30.127
STATIC_2,2,2130.0,5597.0,3442.0,19.6533,-22.0703,-29.9316
STATIC_2,2,2116.0,5593.0,3429.0,19.7021,-22.1558,-30.0781
STATIC_2,2,2121.0,5601.0,3515.0,19.7021,-22.1436,-30.0781
STATIC_2,2,2135.0,5596.0,3578.0,19.6777,-22.1924,-30.0537
STATIC_2,2,2121.0,5595.0,3524.0,19.6899,-22.0581,-30.0537
STATIC_2,2,2126.0,5600.0,3490.0,19.6533,-22.1436,-30.0049
STATIC_2,2,2117.0,5606.0,3540.0,19.6655,-22.1069,-30.0537
STATIC_2,2,2124.0,5616.0,3509.0,19.6899,-22.0703,-30.0293
STATIC_2,2,2131.0,5617.0,3477.0,19.6777,-22.1436,-30.0293
STATIC_2,2,2132.0,5604.0,3414.0,19.7144,-22.0459,-30.0537
STATIC_2,2,2124.0,5590.0,3443.0,19.6533,-22.0215,-29.9316
STATIC_2,2,2117.0,5599.0,3539.0,19.7144,-22.0703,-30.0537
STATIC_2,2,2142.0,5572.0,3571.0,19.6655,-22.0093,-29.9561
STATIC_2,2,2126.0,5602.0,3610.0,19.7021,-22.1191,-30.0293
STATIC_2,2,2124.0,5601.0,3580.0,19.7021,-22.0703,-30.0293
STATIC_2,2,2132.0,5611.0,3593.0,19.6899,-22.1436,-30.0293
STATIC_2,2,2118.0,5601.0,3555.0,19.7144,-22.0947,-30.0537
STATIC_2,2,2122.0,5600.0,3461.0,19.6655,-22.1802,-30.0293
STATIC_2,2,2124.0,5601.0,3498.0,19.7144,-22.168,-30.1025
STATIC_2,2,2121.0,5605.0,3471.0,19.7021,-22.3145,-30.127
STATIC_2,2,2126.0,5605.0,3450.0,19.7021,-22.2656,-30.127
STATIC_2,2,2137.0,5604.0,3463.0,19.7144,-22.229,-30.1514
STATIC_2,2,2132.0,5616.0,3446.0,19.6777,-22.2046,-30.0293
STATIC_2,2,2121.0,5612.0,3532.0,19.7144,-22.2168,-30.1758
STATIC_2,2,2130.0,5614.0,3451.0,19.7021,-22.2412,-30.0781
STATIC_2,2,2116.0,5615.0,3428.0,19.7144,-22.2412,-30.1514
STATIC_2,2,2146.0,5621.0,3433.0,19.7021,-22.2046,-30.1025
STATIC_2,2,2118.0,5610.0,3411.0,19.6899,-22.1313,-29.9805
STATIC_2,2,2119.0,5613.0,3471.0,19.7021,-22.0703,-30.0537
STATIC_2,2,2115.0,5614.0,3557.0,19.6533,-22.0947,-29.9561
STATIC_2,2,2120.0,5599.0,3493.0,19.7144,-22.0947,-30.0293
STATIC_2,2,2119.0,5602.0,3379.0,19.6777,-21.9971,-29.9561
STATIC_2,2,2132.0,5600.0,3381.0,19.7021,-22.1069,-29.9805
STATIC_2,2,2127.0,5609.0,3478.0,19.6899,-22.0459,-30.0049
STATIC_2,2,2124.0,5604.0,3431.0,19.6777,-22.1436,-30.0293
STATIC_2,2,2128.0,5611.0,3463.0,19.7144,-22.1313,-30.1025
STATIC_2,2,2118.0,5614.0,3426.0,19.6777,-22.1191,-30.0049
STATIC_3,3,-2203.0,8417.0,3419.0,-6.34766,-39.1357,-28.418
STATIC_3,3,-2193.0,8415.0,3380.0,-6.28662,-39.1113,-28.3936
STATIC_3,3,-2188.0,8420.0,3350.0,-6.14319,-39.2578,-28.3936
STATIC_3,3,-2168.0,8441.0,3320.0,-5.9906,-39.3311,-28.4668
STATIC_3,3,-2143.0,8435.0,3280.0,-5.75867,-39.3799,-28.4668
STATIC_3,3,-2119.0,8432.0,3310.0,-5.74951,-39.3799,-28.4424
STATIC_3,3,-2145.0,8423.0,3376.0,-5.68542,-39.3555,-28.6377
STATIC_3,3,-2133.0,8432.0,3339.0,-5.71289,-39.4043,-28.5889
STATIC_3,3,-2141.0,8432.0,3404.0,-5.79224,-39.4043,-28.7354
STATIC_3,3,-2139.0,8419.0,3423.0,-5.78003,-39.4531,-28.7109
STATIC_3,3,-2149.0,8422.0,3397.0,-5.77698,-39.4287,-28.7842
STATIC_3,3,-2153.0,8445.0,3381.0,-5.76477,-39.4287,-28.7842
STATIC_3,3,-2134.0,8422.0,3376.0,-5.75256,-39.4043,-28.7598
STATIC_3,3,-2137.0,8439.0,3346.0,-5.77698,-39.4531,-28.8086
STATIC_3,3,-2131.0,8436.0,3366.0,-5.75256,-39.4531,-28.7842
STATIC_3,3,-2147.0,8432.0,3368.0,-5.77698,-39.5264,-28.8574
STATIC_3,3,-2135.0,8431.0,3413.0,-5.7373,-39.4287,-28.7842
STATIC_3,3,-2150.0,8432.0,3313.0,-5.75562,-39.4287,-28.7598
STATIC_3,3,-2152.0,8409.0,3363.0,-5.75867,-39.4043,-28.833
STATIC_3,3,-2138.0,8423.0,3342.0,-5.74341,-39.4531,-28.7354
STATIC_3,3,-2140.0,8430.0,3308.0,-5.75867,-39.3799,-28.8574
STATIC_3,3,-2134.0,8424.0,3274.0,-5.75867,-39.4043,-28.8086
STATIC_3,3,-2139.0,8444.0,3295.0,-5.7373,-39.502,-28.7598
STATIC_3,3,-2137.0,8442.0,3372.0,-5.76782,-39.3799,-28.8574
STATIC_3,3,-2145.0,8425.0,3361.0,-5.7373,-39.4043,-28.7842
STATIC_3,3,-2126.0,8443.0,3339.0,-5.75867,-39.502,-28.9062
STATIC_3,3,-2124.0,8401.0,3327.0,-5.72815,-39.5508,-28.7842
STATIC_3,3,-2134.0,8439.0,3317.0,-5.74646,-39.4531,-28.8818
STATIC_3,3,-2129.0,8425.0,3289.0,-5.7373,-39.5264,-28.833
STATIC_3,3,-2131.0,8432.0,3324.0,-5.7373,-39.4775,-28.7842
STATIC_3,3,-2145.0,8444.0,3340.0,-5.72815,-39.4287,-28.8574
STATIC_3,3,-2131.0,8429.0,3379.0,-5.7251,-39.5264,-28.7598
STATIC_3,3,-2133.0,8424.0,3355.0,-5.74646,-39.4775,-28.8574
STATIC_3,3,-2126.0,8423.0,3349.0,-5.74341,-39.4287,-28.833
STATIC_3,3,-2134.0,8443.0,3334.0,-5.75562,-39.3799,-28.6621
STATIC_3,3,-2138.0,8411.0,3348.0,-5.7251,-39.4287,-28.8086
STATIC_3,3,-2128.0,8396.0,3357.0,-5.74341,-39.3311,-28.6865
STATIC_3,3,-2128.0,8417.0,3325.0,-5.75867,-39.4775,-28.8574
STATIC_3,3,-2138.0,8429.0,3355.0,-5.76477,-39.3066,-28.6621
STATIC_3,3,-2113.0,8437.0,3350.0,-5.75867,-39.5508,-28.8086
STATIC_3,3,-2116.0,8420.0,3352.0,-5.77698,-39.3555,-28.7354
STATIC_3,3,-2129.0,8424.0,3289.0,-5.74646,-39.5264,-28.8086
STATIC_3,3,-2150.0,8426.0,3291.0,-5.74036,-39.502,-28.8574
STATIC_3,3,-2135.0,8425.0,3296.0,-5.7373,-39.5264,-28.7109
STATIC_3,3,-2149.0,8436.0,3320.0,-5.74646,-39.5264,-28.833
STATIC_3,3,-2137.0,8420.0,3338.0,-5.74646,-39.502,-28.8574
STATIC_3,3,-2150.0,8420.0,3332.0,-5.75256,-39.5752,-28.8086
STATIC_3,3,-2132.0,8422.0,3343.0,-5.77393,-39.4043,-28.9307
STATIC_3,3,-2147.0,8417.0,3373.0,-5.7312,-39.4287,-28.8574
