wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_ut,yah_mag_y_ut,yah_mag_z_ut,yah_mag_norm_ut,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788873748.0878406,1788873748086520422,WAIT_STATIC,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.25457262151182103,9.72142810041502,9.802779717504002,nan,nan,nan,nan,nan,nan,nan,nan
1788873748.122166,1788873748106291002,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.2593610248321335,9.731004907055645,9.812402524412086,6.3999999999999995,-574.8,516.1,772.5252164169141,nan,nan,nan,nan
1788873748.129369,1788873748125026212,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.2593610248321335,9.726216503735332,9.807653862034547,4.8999999999999995,-575.3,518.0999999999999,774.2232946637553,nan,nan,nan,nan
1788873748.1512837,1788873748145169341,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2295205769377306,0.2593610248321335,9.726216503735332,9.807052384271678,3.9,-574.4,516.8,772.6789825017889,nan,nan,nan,nan
1788873748.1805613,1788873748165567757,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2390973835783556,0.25457262151182103,9.731004907055645,9.81288061920429,3.9,-574.0,515.8,771.7129323783553,nan,nan,nan,nan
1788873748.1944835,1788873748185046705,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2390973835783556,0.25457262151182103,9.72142810041502,9.80338379627937,3.6999999999999997,-574.6,515.5,771.9579651768612,nan,nan,nan,nan
1788873748.213492,1788873748205032910,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2295205769377306,0.2689378314727585,9.72142810041502,9.802561538590275,3.3,-574.9,515.5999999999999,772.2462431116127,nan,nan,nan,nan
1788873748.228706,1788873748225705409,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2247321736174182,0.2593610248321335,9.731004907055645,9.811202451251155,3.0,-575.3,517.8,774.012874569926,50.699999999999996,1.7999999999999998,48.3,70.04726975407392
1788873748.248938,1788873748246058642,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2486741902189806,0.25457262151182103,9.726216503735332,9.809346661754592,3.9,-576.2,516.1999999999999,773.617534703034,50.699999999999996,1.7999999999999998,48.3,70.04726975407392
1788873748.2666225,1788873748265358998,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2438857868986681,0.24978421819150853,9.72142810041502,9.803867008382195,4.8999999999999995,-577.1,515.9,774.0938121442388,50.699999999999996,1.7999999999999998,48.3,70.04726975407392
1788873748.287045,1788873748285047733,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2295205769377306,0.2593610248321335,9.731004907055645,9.811801337749166,5.1,-576.3,515.9,773.4988752415869,50.4,1.5,48.6,70.03120732930427
1788873748.305963,1788873748305071664,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2390973835783556,0.25457262151182103,9.726216503735332,9.808132188299037,4.199999999999999,-576.0,516.6999999999999,773.8039351153495,50.4,1.5,48.6,70.03120732930427
1788873748.325805,1788873748325041153,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.2689378314727585,9.726216503735332,9.807911790665557,4.1,-575.8,517.6999999999999,774.3227621605863,50.4,1.5,48.6,70.03120732930427
1788873748.345624,1788873748345049703,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.25457262151182103,9.716639697094706,9.798031071675867,5.199999999999999,-575.8,516.6,773.5943639918792,50.4,1.7999999999999998,48.0,69.62327197137462
1788873748.3659198,1788873748365038467,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.2593610248321335,9.726216503735332,9.807653862034547,4.6,-575.2,516.4,773.010452710699,50.4,1.7999999999999998,48.0,69.62327197137462
1788873748.3872755,1788873748385054928,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.2593610248321335,9.726216503735332,9.807653862034547,4.8999999999999995,-574.6999999999999,518.0,773.7106048129364,50.4,1.7999999999999998,48.0,69.62327197137462
1788873748.406422,1788873748405054872,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2438857868986681,0.2593610248321335,9.72142810041502,9.804115681875102,5.8999999999999995,-574.1999999999999,517.4,772.9445064168577,50.699999999999996,1.5,48.3,70.04020274099726
1788873748.4273605,1788873748425079059,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.25457262151182103,9.726216503735332,9.807528401993164,5.8999999999999995,-573.9,516.8,772.3200502382415,50.699999999999996,1.5,48.3,70.04020274099726
1788873748.452354,1788873748445968710,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2247321736174182,0.2593610248321335,9.726216503735332,9.806453207751982,5.699999999999999,-572.5999999999999,516.3000000000001,771.0181191126444,50.699999999999996,1.5,48.3,70.04020274099726
1788873748.4688828,1788873748465095217,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2438857868986681,0.2593610248321335,9.72142810041502,9.804115681875102,4.4,-572.3,515.9,770.5189549907257,50.699999999999996,1.5,48.9,70.45530498124324
1788873748.4879267,1788873748485194890,STATIC_CANDIDATE,0,-160.97654366825608,nan,nan,0,nan,-0.0,-0.0,-0.0,0.0,1.2343089802580431,0.264149428152446,9.731004907055645,9.812530258821115,5.0,-573.5999999999999,515.3,771.0875760897719,50.699999999999996,1.5,48.9,70.45530498124324
