wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,map_yaw_from_enu_deg,gnss_cog_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,yah_mag_norm_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788877591.1879573,1788877591185573240,WAIT_STATIC,0,-173.2763671875,nan,nan,0,nan,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.05345968205869605,9.778888940258769,9.80223910824313,nan,nan,nan,nan,nan,nan,nan,nan
1788877591.2187998,1788877591204029945,WAIT_STATIC,0,-173.2763671875,170.14369601424116,169.9464115833913,0,nan,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.793254150219706,9.816522665852734,902.0,5546.0,3686.0,6719.993749997094,nan,nan,nan,nan
1788877591.2249894,1788877591223996207,WAIT_STATIC,0,-173.2763671875,170.13532341324114,169.93904168487327,0,nan,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.774100536938457,9.79739426457766,905.0,5546.0,3706.0,6731.387449850142,nan,nan,nan,nan
1788877591.2503257,1788877591244081566,WAIT_STATIC,0,-173.2763671875,170.10952869224104,170.10771067392267,0,170.10771067392267,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.783677343579082,9.806640622186734,900.0,5544.0,3693.0,6721.918252998916,nan,nan,nan,nan
1788877591.2690716,1788877591264339923,WAIT_STATIC,0,-173.2763671875,170.10771067392267,170.10771067392267,0,170.10771067392267,nan,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.04388287541807105,9.774100536938457,9.797745150346731,892.0,5544.0,3698.0,6723.600523529041,nan,nan,nan,nan
1788877591.2886071,1788877591284443544,STATIC_CANDIDATE,0,-173.2763671875,170.10771067392267,170.10771067392267,0,170.10771067392267,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.774100536938457,9.797414541836309,901.0,5545.0,3706.0,6730.026894448491,nan,nan,nan,nan
1788877591.3154318,1788877591304447595,STATIC_CANDIDATE,0,-173.2763671875,170.10771067392267,170.27695894146416,0,170.33910110491857,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.783677343579082,9.806991177129031,911.0,5541.0,3710.0,6730.282460640118,nan,nan,nan,nan
1788877591.3248758,1788877591324156071,STATIC_CANDIDATE,0,-173.2763671875,170.12160337292272,170.2783740501278,0,170.33910110491857,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.788465746899394,9.811725370576845,909.0,5533.0,3712.0,6724.530764298725,nan,nan,nan,nan
1788877591.3447526,1788877591344047700,STATIC_CANDIDATE,0,-173.2763671875,170.12655626392274,170.28385805415994,0,170.33910110491857,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,911.0,5543.0,3703.0,6728.073944302337,nan,nan,nan,nan
1788877591.3648984,1788877591364028248,STATIC_CANDIDATE,0,-173.2763671875,170.1457503149228,170.12125886854244,0,170.10898072488365,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.778888940258769,9.802191556193963,914.0,5541.0,3698.0,6724.0821678501225,nan,nan,nan,nan
1788877591.3848193,1788877591384025367,STATIC_CANDIDATE,0,-173.2763671875,170.15195422892285,170.11919915612026,0,170.10898072488365,0.0,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.774100536938457,9.796760312690575,905.0,5541.0,3688.0,6717.369276733266,nan,nan,nan,nan
1788877591.4062335,1788877591404027603,STATIC_CANDIDATE,0,-173.2763671875,170.1447452349228,170.11332163659353,0,170.10898072488365,0.0,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03430606877744605,9.783677343579082,9.8066024438805,900.0,5554.0,3673.0,6719.214611842667,nan,nan,nan,nan
1788877591.424771,1788877591424022877,STATIC_CANDIDATE,0,-173.2763671875,170.12417391592274,170.10264294595598,0,170.10264294595598,0.0,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.778888940258769,9.801843168831526,902.0,5552.0,3680.0,6721.659616493534,nan,nan,nan,nan
1788877591.4452815,1788877591444019932,STATIC_CANDIDATE,0,-173.2763671875,170.10264294595598,170.10264294595598,0,170.10264294595598,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,912.0,5547.0,3693.0,6726.009366630409,nan,nan,nan,nan
