segment,samples,duration_sec,imu_mean_deg,imu_std_deg,inertial_mean_deg,inertial_std_deg,validated_mean_deg,validated_std_deg,neo_mean_deg,neo_std_deg,inertial_neo_residual_deg,gyro_z_mean_rps,gyro_norm_mean_rps,acc_norm_mean,yah_mag_norm_mean_ut,neo_mag_norm_mean_ut
1,45,0.8787535309966188,-160.97654366825608,0.0,156.27153664223263,0.0672768780494699,156.2717662685949,0.2047745054677669,156.2816730628496,0.2854284140996025,-0.010136420616960304,0.0,0.0,9.80653931363978,771.077776390489,69.98189215760104
2,45,0.8791538400037098,149.41688894840496,0.03776414434811583,111.49948168984801,0.0,nan,nan,-178.82653430202973,0.24303029896917455,-69.67398400812225,0.0,0.0010699369751235308,9.809759241489315,902.8637380910243,70.946429268898
3,44,0.8730456999983289,113.18028361604654,0.30444076882305077,66.49240356966979,2.414836539451467e-06,nan,nan,-143.61495220271522,0.18468584464094998,-149.892644227615,0.0,0.0014960818621220608,9.806356282087973,1019.1020092309341,63.94826258245817
4,44,0.8794978389996686,83.78898437561382,0.26882772863407617,22.920969180875847,0.0,nan,nan,-99.22763867066834,0.2383978632786885,122.1486078515442,0.0,0.0030257130630908266,9.80446629209334,1063.5643920070472,59.81136784298763
5,45,0.8800091930024792,50.30104492879045,0.4242384786985405,-23.660115055025013,0.0,nan,nan,-48.16142428864289,0.27389212263377083,24.501309233617878,0.0,0.0006073629860540645,9.80449235741264,965.3421671520969,58.62299891641453
6,45,0.8802742769985343,18.0041692509719,0.1527699666133202,-66.73687866017788,0.02109643368334446,nan,nan,1.0016070602304907,0.29274955255172075,-67.73848572040836,0.0,0.0007257257011686972,9.809649477059088,792.6396891914395,61.37789169119673
7,46,0.8985450259933714,-33.972202293543894,0.20453940345486551,-114.81739421168805,0.00014898778230946667,nan,nan,53.72687797606583,0.2947598100445401,-168.54427218775388,0.0,0.00041684260540370677,9.806968611615257,572.0332681215813,67.73087424977149
8,44,0.8597006560012233,-122.63090389793304,1.2188271255186414,-168.81110937686205,0.0,nan,nan,106.80733496841904,0.19340460975851428,84.38155565471888,0.0,0.00022376946406835738,9.806809651914849,533.5044238433579,72.17947174232404
