t_s,tf_x,tf_y,tf_yaw,local_x,local_y,local_yaw,local_vx,global_x,global_y,global_yaw,global_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_speed,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,goal_state,gate,ready,feedback,estop
0.9761228150000534,nan,nan,nan,nan,nan,nan,nan,127.16479063589361,101.68944397995186,-0.28209235956187406,0.016093667326442015,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.0296952130001955,nan,nan,nan,nan,nan,nan,nan,127.1652064545584,101.68342059729736,-0.28134694180666653,0.017487662231973206,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.071311071999844,nan,nan,nan,nan,nan,nan,nan,127.1652064545584,101.68342059729736,-0.28134694180666653,0.017487662231973206,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.1140563690005365,nan,nan,nan,nan,nan,nan,nan,127.16560887310598,101.67835281774823,-0.2811098272978247,0.01859541642877576,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.154413792000014,nan,nan,nan,nan,nan,nan,nan,127.16560887310598,101.67835281774823,-0.2811098272978247,0.01859541642877576,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.194997347000026,nan,nan,nan,nan,nan,nan,nan,127.16376022086172,101.67187056730076,-0.2804090247234643,0.01830660593517447,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.2352442199999132,nan,nan,nan,nan,nan,nan,nan,127.16376022086172,101.67187056730076,-0.2804090247234643,0.01830660593517447,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.2760201440005403,nan,nan,nan,nan,nan,nan,nan,127.16376022086172,101.67187056730076,-0.2804090247234643,0.01830660593517447,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.3288613120002992,nan,nan,nan,nan,nan,nan,nan,127.16217580743104,101.66643105322365,-0.2802667966548418,0.01799029961466011,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.370106590999967,nan,nan,nan,nan,nan,nan,nan,127.16217580743104,101.66643105322365,-0.2802667966548418,0.01799029961466011,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
