source_mode,sample_seq,wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,vacc_m,fix_type,fix_valid,satellites,satellites_visible,gnss_ground_speed_mps,gnss_course_deg,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_sacc_mps,gnss_course_acc_deg,gnss_pdop,gnss_rate_hz,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,neo3_mag_x_ut,neo3_mag_y_ut,neo3_mag_z_ut,neo3_mag_norm_ut,neo3_node_id,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yah_mag_raw_x_lsb,yah_mag_raw_y_lsb,yah_mag_raw_z_lsb,yah_mag_corrected_x,yah_mag_corrected_y,yahboom_corrected_norm,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,gyro_integrated_yaw_deg,yaw_gnss_heading_deg,yaw_imu_orientation_deg,map_yaw_from_enu_deg,imu_acc_raw_x,imu_acc_raw_y,imu_acc_raw_z,imu_acc_x_mps2,imu_acc_y_mps2,imu_acc_z_mps2,imu_acc_norm_mps2,imu_gyro_raw_x,imu_gyro_raw_y,imu_gyro_raw_z,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_gyro_x_rps,imu_gyro_y_rps,imu_gyro_z_rps,gyro_z_rps,imu_angle_raw_roll,imu_angle_raw_pitch,imu_angle_raw_yaw,imu_roll_deg,imu_pitch_deg,imu_accgyro_yaw_deg,baro_pressure_pa,baro_temperature_k,neo3_crc_ok,yahboom_checksum_ok,bad_neo3_crc,bad_yahboom_checksum,f4_line_count,gnss_count,neo3_mag_count,imu_acc_count,imu_gyro_count,imu_angle_count,imu_mag_count,raw_message_count,raw_reference
DIRECT_SERIAL,1,1789496335346236113,2026-09-15T18:18:55.346236+00:00,-1,2838595954250,1789496335346236113,1789496335,346236113,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,nan,yahboom_stale,0,nan,nan,nan,nan,nan,nan,nan,imu_stale,0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,0,0,0,0,0,1,F4line=0;YAH=0
DIRECT_SERIAL,2,1789496335546309097,2026-09-15T18:18:55.546309+00:00,-1,2838796027525,1789496335546309097,1789496335,546309097,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,nan,yahboom_stale,0,nan,nan,nan,nan,nan,nan,nan,imu_stale,0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,0,6,6,6,6,26,F4line=0;YAH=24
DIRECT_SERIAL,3,1789496335747314632,2026-09-15T18:18:55.747315+00:00,-1,2838997033198,1789496335747314632,1789496335,747314632,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,nan,yahboom_stale,0,nan,nan,nan,nan,nan,nan,nan,imu_stale,0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,0,6,6,6,6,26,F4line=0;YAH=24
DIRECT_SERIAL,4,1789496335948561621,2026-09-15T18:18:55.948562+00:00,-1,2839198279841,1789496335948561621,1789496335,948561621,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,nan,yahboom_stale,0,nan,nan,nan,nan,nan,nan,nan,imu_stale,0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,0,0,0,0,0,6,6,6,6,27,F4line=0;YAH=24
DIRECT_SERIAL,5,1789496336164458371,2026-09-15T18:18:56.164459+00:00,-1,2839414177117,1789496336164458371,1789496336,164458371,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.71124546953448,yahboom_calibrated_direct,1,3090,1412,4011,0.9039573657400009,-0.06535171543007397,0.9063165924693507,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-24,-104,2044,-0.1149216796875,-0.49799394531249996,9.787496386718749,9.800831111801829,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,15,15,15,15,64,F4line=0;YAH=60
DIRECT_SERIAL,6,1789496336365059682,2026-09-15T18:18:56.365060+00:00,-1,2839614776738,1789496336365059682,1789496336,365059682,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.73675186726976,yahboom_calibrated_direct,1,3077,1410,4020,0.9020868107772747,-0.06565221575712132,0.9044726793066412,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-18,-106,2044,-0.086191259765625,-0.507570751953125,9.787496386718749,9.801027625791635,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,26,26,26,26,109,F4line=0;YAH=104
DIRECT_SERIAL,7,1789496336583528388,2026-09-15T18:18:56.583529+00:00,-1,2839833247019,1789496336583528388,1789496336,583528388,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.92947478431779,yahboom_calibrated_direct,1,3102,1384,4014,0.905631376133393,-0.0692164577894292,0.9082725953512959,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-22,-104,2045,-0.105344873046875,-0.49799394531249996,9.792284790039062,9.805505439347609,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,36,36,36,36,149,F4line=0;YAH=144
DIRECT_SERIAL,8,1789496336784215067,2026-09-15T18:18:56.784215+00:00,-1,2840033932117,1789496336784215067,1789496336,784215067,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.92528172009042,yahboom_calibrated_direct,1,3064,1388,4013,0.9001809710496715,-0.06872836838294119,0.9028008469538068,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-24,-105,2044,-0.1149216796875,-0.5027823486328125,9.787496386718749,9.801075583964828,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,47,47,47,47,193,F4line=0;YAH=188
DIRECT_SERIAL,9,1789496337002525990,2026-09-15T18:18:57.002526+00:00,-1,2840252243872,1789496337002525990,1789496337,2525990,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.65864619575622,yahboom_calibrated_direct,1,3084,1419,4017,0.9031080108755978,-0.06439082255496671,0.9054006059954809,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-24,-105,2043,-0.1149216796875,-0.5027823486328125,9.782707983398437,9.796293818123589,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,57,57,57,57,234,F4line=0;YAH=228
DIRECT_SERIAL,10,1789496337203163024,2026-09-15T18:18:57.203163+00:00,-1,2840452880175,1789496337203163024,1789496337,203163024,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.91485675264248,yahboom_calibrated_direct,1,3078,1388,4017,0.9021916149579283,-0.06870366904752721,0.9048037932286684,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-21,-103,2043,-0.1005564697265625,-0.49320554199218747,9.782707983398437,9.795648972819677,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,68,68,68,68,278,F4line=0;YAH=272
DIRECT_SERIAL,11,1789496337421569886,2026-09-15T18:18:57.421570+00:00,-1,2840671288125,1789496337421569886,1789496337,421569886,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.90666596950176,yahboom_calibrated_direct,1,3100,1387,3993,0.9053494340040878,-0.06880363842110103,0.9079600973123785,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-21,-104,2043,-0.1005564697265625,-0.49799394531249996,9.782707983398437,9.795891233656041,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,78,78,78,78,319,F4line=0;YAH=312
DIRECT_SERIAL,12,1789496337622093629,2026-09-15T18:18:57.622094+00:00,-1,2840871810726,1789496337622093629,1789496337,622093629,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.74130391578002,yahboom_calibrated_direct,1,3082,1409,4019,0.9028031336491226,-0.06578217718084067,0.9051965493534136,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-21,-102,2046,-0.1005564697265625,-0.488417138671875,9.797073193359374,9.8097556575581,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,89,89,89,89,363,F4line=0;YAH=356
DIRECT_SERIAL,13,1789496337840632417,2026-09-15T18:18:57.840632+00:00,-1,2841090350639,1789496337840632417,1789496337,840632417,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,86.79166397849342,yahboom_calibrated_direct,1,3091,1402,3997,0.9040833407795805,-0.06673777734121636,0.9065432245621898,nan,none:gyro_integral,0,nan,nan,155.8905029296875,0.0,-23,-104,2045,-0.11013327636718749,-0.49799394531249996,9.792284790039062,9.805558052317147,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532,112,28379,-2.92236328125,0.615234375,155.8905029296875,nan,nan,,1,0,0,0,0,0,99,99,99,99,403,F4line=0;YAH=396
