time_iso,unix_s,right_erpm,gnss_gspeed_mps,gnss_vel_norm_mps,ratio_erpm_per_mps,sat,dop,hacc_m,sacc_mps,gnss_measurement_age_s,erpm_pair_age_s,esc_right_age_ms,gnss_vel_sigma_mps,steering_deg,esc_fault,valid,reject_reason
2026-09-17T23:20:47.438,1789662047.438569,0.000,0.089200,0.089202,nan,16,0.680,0.607,0.393,0.038,0.006,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-17T23:20:47.537,1789662047.537527,0.000,0.035400,0.035355,nan,16,0.730,0.610,0.416,0.037,0.004,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-17T23:20:47.638,1789662047.638566,0.000,0.034000,0.034000,nan,16,0.730,0.613,0.344,0.038,0.007,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-17T23:20:47.736,1789662047.736455,0.000,0.059700,0.059682,nan,16,0.730,0.615,0.340,0.036,0.004,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-17T23:20:47.840,1789662047.840910,0.000,0.061400,0.061400,nan,16,0.730,0.617,0.355,0.040,0.009,0.0,0.3549,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:47.938,1789662047.938796,0.000,0.011000,0.011045,nan,16,0.730,0.618,0.330,0.038,0.007,0.0,0.3300,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.050,1789662048.050329,0.000,0.014800,0.014765,nan,16,0.730,0.619,0.343,0.049,0.018,0.0,0.3430,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.458,1789662048.458286,0.000,0.046100,0.046141,nan,16,0.730,0.620,0.312,0.048,0.000,0.0,0.3120,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.459,1789662048.459093,0.000,0.030100,0.030083,nan,16,0.740,0.621,0.310,0.040,0.000,0.0,0.3100,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.459,1789662048.459846,0.000,0.022200,0.022204,nan,16,0.740,0.622,0.313,0.038,0.000,0.0,0.3130,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.460,1789662048.460470,0.000,0.057300,0.057271,nan,16,0.740,0.623,0.305,0.038,0.000,0.0,0.3050,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.539,1789662048.539847,0.000,0.010400,0.010440,nan,16,0.740,0.623,0.295,0.039,0.007,0.0,0.2950,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.638,1789662048.638851,0.000,0.053700,0.053666,nan,16,0.770,0.623,0.246,0.038,0.007,0.0,0.2460,0.000,0,0,speed_low
2026-09-17T23:20:48.735,1789662048.735677,0.000,0.072100,0.072090,nan,16,0.770,0.624,0.261,0.035,0.004,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.839,1789662048.839329,0.000,0.059000,0.059034,nan,16,0.770,0.625,0.304,0.038,0.007,0.0,0.3040,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:48.938,1789662048.938834,0.000,0.046100,0.046098,nan,16,0.800,0.626,0.404,0.038,0.007,0.0,0.4040,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.047,1789662049.047944,0.000,0.085300,0.085276,nan,16,0.770,0.628,0.375,0.047,0.016,0.0,0.3750,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.141,1789662049.141838,0.000,0.041000,0.041012,nan,16,0.770,0.630,0.305,0.041,0.009,0.0,0.3050,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.237,1789662049.237862,0.000,0.128100,0.128129,nan,16,0.770,0.631,0.397,0.037,0.005,0.0,0.3970,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.339,1789662049.339825,0.000,0.052400,0.052393,nan,16,0.770,0.632,0.330,0.039,0.005,0.0,0.3300,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.441,1789662049.441189,507.000,0.036100,0.036125,nan,16,0.780,0.633,0.323,0.040,0.007,0.0,0.3230,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.540,1789662049.540023,-421.000,0.027600,0.027586,nan,16,0.780,0.633,0.318,0.039,0.005,0.0,0.3180,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.639,1789662049.639109,-1391.000,0.171400,0.171397,nan,16,0.770,0.634,0.278,0.038,0.005,0.0,0.2780,0.000,0,0,sacc_high;speed_low
2026-09-17T23:20:49.738,1789662049.738054,-1818.000,0.335200,0.335167,nan,16,0.740,0.635,0.329,0.037,0.003,0.0,0.3290,0.000,0,0,sacc_high
2026-09-17T23:20:49.840,1789662049.840398,-2222.000,0.392100,0.392122,nan,16,0.770,0.636,0.311,0.039,0.006,0.0,0.3110,0.000,0,0,sacc_high
2026-09-17T23:20:49.938,1789662049.938882,-2461.000,0.544200,0.544229,nan,16,0.770,0.638,0.359,0.038,0.003,0.0,0.3590,0.000,0,0,sacc_high
2026-09-17T23:20:50.050,1789662050.050236,-2666.000,0.603200,0.603206,nan,16,0.770,0.640,0.337,0.049,0.014,0.0,0.3370,0.000,0,0,sacc_high
2026-09-17T23:20:50.139,1789662050.139043,-3137.000,0.673400,0.673359,nan,16,0.770,0.642,0.333,0.038,0.004,0.0,0.3330,0.000,0,0,sacc_high
2026-09-17T23:20:50.236,1789662050.236768,-3265.000,0.700800,0.700761,nan,16,0.770,0.643,0.309,0.036,0.001,0.0,0.3090,0.000,0,0,sacc_high
2026-09-17T23:20:50.339,1789662050.339844,-3333.000,0.674300,0.674294,nan,16,0.770,0.644,0.290,0.039,0.004,0.0,0.2900,0.000,0,0,sacc_high
2026-09-17T23:20:50.440,1789662050.440800,-3555.000,0.677800,0.677827,nan,16,0.770,0.645,0.296,0.040,0.004,0.0,0.2961,0.000,0,0,sacc_high
2026-09-17T23:20:50.538,1789662050.538812,-3404.000,0.743800,0.743770,nan,16,0.720,0.646,0.266,0.038,0.004,0.0,0.2660,0.000,0,0,sacc_high
2026-09-17T23:20:50.638,1789662050.638752,-3478.000,0.753300,0.753311,nan,16,0.720,0.646,0.271,0.038,0.003,0.0,0.2710,0.000,0,0,sacc_high
2026-09-17T23:20:50.737,1789662050.737776,-3333.000,0.701300,0.701343,nan,16,0.720,0.645,0.310,0.037,0.002,0.0,0.3100,0.000,0,0,sacc_high
2026-09-17T23:20:50.837,1789662050.837743,-3333.000,0.849400,0.849350,nan,16,0.810,0.645,0.296,0.037,0.001,0.0,0.2961,0.000,0,0,sacc_high
2026-09-17T23:20:50.938,1789662050.938730,-3265.000,0.706700,0.706654,4620.065091,16,0.810,0.645,0.246,0.038,0.003,0.0,0.2460,0.000,0,1,OK
2026-09-17T23:20:51.050,1789662051.050170,-3333.000,0.790000,0.789968,nan,16,0.770,0.645,0.290,0.049,0.014,0.0,0.2900,0.000,0,0,sacc_high
2026-09-17T23:20:51.140,1789662051.140876,-3333.000,0.736300,0.736285,nan,16,0.820,0.645,0.307,0.040,0.005,0.0,0.3070,0.000,0,0,sacc_high
2026-09-17T23:20:51.238,1789662051.238826,-3200.000,0.787600,0.787576,nan,16,0.820,0.646,0.268,0.038,0.004,0.0,0.2680,0.000,0,0,sacc_high
2026-09-17T23:20:51.339,1789662051.339856,-3137.000,0.685100,0.685118,nan,16,0.820,0.646,0.305,0.039,0.004,0.0,0.3050,0.000,0,0,sacc_high
2026-09-17T23:20:51.439,1789662051.439805,-3137.000,0.730800,0.730776,4292.556103,16,0.810,0.645,0.248,0.039,0.005,0.0,0.2480,0.000,0,1,OK
2026-09-17T23:20:51.538,1789662051.538733,-3137.000,0.716500,0.716484,nan,16,0.720,0.645,0.266,0.038,0.004,0.0,0.2660,0.000,0,0,sacc_high
2026-09-17T23:20:51.637,1789662051.637783,-2962.000,0.671600,0.671584,nan,16,0.810,0.645,0.279,0.037,0.002,0.0,0.2790,0.000,0,0,sacc_high
2026-09-17T23:20:51.737,1789662051.737868,-3018.000,0.671900,0.671887,nan,16,0.770,0.645,0.280,0.037,0.002,0.0,0.2801,0.000,0,0,sacc_high
2026-09-17T23:20:51.839,1789662051.839682,-3137.000,0.696900,0.696915,nan,16,0.770,0.644,0.260,0.039,0.004,0.0,0.2601,0.000,0,0,sacc_high
2026-09-17T23:20:51.938,1789662051.938719,-3076.000,0.659400,0.659410,nan,16,0.770,0.643,0.272,0.038,0.004,0.0,0.2720,0.000,0,0,sacc_high
2026-09-17T23:20:52.048,1789662052.048933,-3265.000,0.741700,0.741669,nan,16,0.810,0.643,0.256,0.048,0.014,0.0,0.2560,0.000,0,0,sacc_high
2026-09-17T23:20:52.137,1789662052.137756,-3137.000,0.670300,0.670329,nan,16,0.810,0.643,0.262,0.037,0.003,0.0,0.2620,0.000,0,0,sacc_high
2026-09-17T23:20:52.238,1789662052.238801,-2962.000,0.669000,0.669044,nan,16,0.810,0.643,0.315,0.038,0.004,0.0,0.3150,0.000,0,0,sacc_high
2026-09-17T23:20:52.339,1789662052.339994,-3076.000,0.630900,0.630924,nan,16,0.810,0.644,0.301,0.039,0.005,0.0,0.3010,0.000,0,0,sacc_high
2026-09-17T23:20:52.440,1789662052.440787,-3018.000,0.627800,0.627778,nan,16,0.810,0.644,0.332,0.040,0.006,0.0,0.3320,0.000,0,0,sacc_high
2026-09-17T23:20:52.538,1789662052.538861,-2909.000,0.714600,0.714557,nan,16,0.810,0.645,0.287,0.038,0.004,0.0,0.2870,0.000,0,0,sacc_high
2026-09-17T23:20:52.638,1789662052.638083,-3076.000,0.635300,0.635303,nan,16,0.810,0.645,0.306,0.037,0.002,0.0,0.3060,0.000,0,0,sacc_high
2026-09-17T23:20:52.738,1789662052.738906,-2962.000,0.684300,0.684322,nan,16,0.810,0.646,0.307,0.038,0.003,0.0,0.3070,0.000,0,0,sacc_high
2026-09-17T23:20:52.839,1789662052.839735,-2962.000,0.592400,0.592355,nan,16,0.810,0.646,0.284,0.039,0.006,0.0,0.2839,0.000,0,0,sacc_high
2026-09-17T23:20:52.938,1789662052.938725,-3076.000,0.655400,0.655372,nan,16,0.810,0.646,0.284,0.038,0.003,0.0,0.2839,0.000,0,0,sacc_high
2026-09-17T23:20:53.050,1789662053.050254,-3137.000,0.614100,0.614142,nan,16,0.810,0.645,0.254,0.049,0.016,0.0,0.2540,0.000,0,0,sacc_high
2026-09-17T23:20:53.137,1789662053.137814,-2962.000,0.722200,0.722220,4101.356965,16,0.810,0.644,0.237,0.037,0.002,0.0,0.2370,0.000,0,1,OK
2026-09-17T23:20:53.239,1789662053.239085,-3076.000,0.669800,0.669774,nan,16,0.810,0.643,0.257,0.038,0.005,0.0,0.2570,0.000,0,0,sacc_high
2026-09-17T23:20:53.339,1789662053.339799,-3076.000,0.683200,0.683212,nan,16,0.810,0.643,0.273,0.039,0.004,0.0,0.2730,0.000,0,0,sacc_high
2026-09-17T23:20:53.440,1789662053.440792,-2909.000,0.688300,0.688283,nan,16,0.810,0.644,0.368,0.040,0.006,0.0,0.3679,0.000,0,0,sacc_high
2026-09-17T23:20:53.538,1789662053.538936,-3076.000,0.611900,0.611889,nan,16,0.810,0.644,0.287,0.038,0.004,0.0,0.2870,0.000,0,0,sacc_high
2026-09-17T23:20:53.637,1789662053.637798,-2909.000,0.696300,0.696348,4177.796927,16,0.810,0.643,0.247,0.037,0.004,0.0,0.2470,0.000,0,1,OK
2026-09-17T23:20:53.737,1789662053.737790,-3076.000,0.620300,0.620317,4958.890859,16,0.750,0.640,0.244,0.037,0.002,0.0,0.2440,0.000,0,1,OK
2026-09-17T23:20:53.838,1789662053.838966,-3200.000,0.721200,0.721156,nan,16,0.750,0.641,0.340,0.038,0.003,0.0,0.3400,0.000,0,0,sacc_high
