wall_time,state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
1789591944.4596202,STATIC_2,2,-22.0,2966.0,3137.0,4.599,-16.2842,-22.7783
1789591944.560181,STATIC_2,2,-25.0,2981.0,3309.0,4.60815,-16.3818,-22.4854
1789591944.660217,STATIC_2,2,-36.0,2967.0,3288.0,4.62341,-16.2842,-22.7417
1789591944.7602513,STATIC_2,2,-26.0,2973.0,3362.0,4.63867,-16.4307,-22.6196
1789591944.8768182,STATIC_2,2,-24.0,2972.0,3307.0,4.61121,-16.3574,-22.8149
1789591944.9785314,STATIC_2,2,-33.0,2960.0,3310.0,4.599,-16.272,-22.7539
1789591945.0793073,STATIC_2,2,-32.0,2977.0,3305.0,4.64478,-16.333,-22.6807
1789591945.186826,STATIC_2,2,-27.0,2969.0,3367.0,4.599,-16.2842,-22.7661
1789591945.2978523,STATIC_2,2,-30.0,2980.0,3362.0,4.59595,-16.2476,-22.583
1789591945.398162,STATIC_2,2,-17.0,2970.0,3269.0,4.58069,-16.1987,-22.7417
1789591945.498208,STATIC_2,2,-24.0,2977.0,3257.0,4.54712,-16.2354,-22.4365
1789591945.5982244,STATIC_2,2,-17.0,2969.0,3230.0,4.60815,-16.2476,-22.6196
1789591945.6982262,STATIC_2,2,-28.0,2965.0,3298.0,4.56848,-16.1865,-22.6562
1789591945.8168254,STATIC_2,2,-25.0,2976.0,3255.0,4.60815,-16.272,-22.583
1789591945.916903,STATIC_2,2,-23.0,2978.0,3303.0,4.6051,-16.1865,-22.5708
1789591946.0172615,STATIC_2,2,-10.0,2970.0,3315.0,4.58374,-16.1621,-22.4854
1789591946.118171,STATIC_2,2,-31.0,2978.0,3331.0,4.62646,-16.3696,-22.6562
1789591946.2333786,STATIC_2,2,-6.0,2965.0,3273.0,4.6051,-16.1743,-22.7905
1789591946.333801,STATIC_2,2,-24.0,2960.0,3335.0,4.59595,-16.3208,-22.6074
1789591946.4344432,STATIC_2,2,-37.0,2972.0,3355.0,4.57764,-16.2231,-22.644
1789591946.5353048,STATIC_2,2,-10.0,2969.0,3292.0,4.60815,-16.2476,-22.644
1789591946.636157,STATIC_2,2,-27.0,2970.0,3294.0,4.58679,-16.2476,-22.5952
1789591946.7362576,STATIC_2,2,-27.0,2988.0,3161.0,4.57458,-16.2598,-22.6807
1789591946.8387978,STATIC_2,2,-28.0,2971.0,3124.0,4.599,-16.3452,-22.6074
1789591946.9544463,STATIC_2,2,-26.0,2962.0,3174.0,4.57764,-16.1011,-22.3633
1789591947.0552077,STATIC_2,2,-17.0,2968.0,3278.0,4.63257,-16.4062,-22.644
1789591947.1552138,STATIC_2,2,-30.0,2975.0,3259.0,4.59595,-16.1377,-22.4731
1789591947.2737243,STATIC_2,2,-36.0,2961.0,3229.0,4.61731,-16.2964,-22.7295
1789591947.3742654,STATIC_2,2,-17.0,2965.0,3329.0,4.60815,-16.1743,-22.4243
1789591947.4787588,STATIC_2,2,-26.0,2970.0,3373.0,4.63257,-16.2842,-22.9248
1789591947.5868158,STATIC_2,2,-3.0,2966.0,3308.0,4.5929,-16.1621,-22.4243
1789591947.6929624,STATIC_2,2,-16.0,2960.0,3307.0,4.60815,-16.272,-22.7295
1789591947.7931335,STATIC_2,2,-16.0,2969.0,3314.0,4.61731,-16.3086,-22.6562
1789591947.8932185,STATIC_2,2,-10.0,2969.0,3346.0,4.60815,-16.272,-22.7905
1789591947.9932365,STATIC_2,2,-13.0,2974.0,3331.0,4.57764,-16.2476,-22.6196
1789591953.082276,STATIC_3,3,-2490.0,4590.0,3391.0,-6.73218,-20.4834,-29.8828
1789591953.1866107,STATIC_3,3,-2493.0,4574.0,3441.0,-6.7749,-20.3247,-29.9805
1789591953.2866387,STATIC_3,3,-2480.0,4561.0,3350.0,-6.79321,-20.3125,-29.834
1789591953.4008143,STATIC_3,3,-2480.0,4590.0,3300.0,-6.78101,-20.2637,-29.7119
1789591953.5012712,STATIC_3,3,-2478.0,4580.0,3250.0,-6.81152,-20.3003,-29.8828
1789591953.6112967,STATIC_3,3,-2468.0,4579.0,3264.0,-6.7749,-20.2515,-29.7363
1789591953.7201054,STATIC_3,3,-2476.0,4582.0,3232.0,-6.84204,-20.2515,-29.6875
1789591953.8201056,STATIC_3,3,-2472.0,4568.0,3272.0,-6.84204,-20.105,-29.4434
1789591953.9202268,STATIC_3,3,-2495.0,4583.0,3302.0,-6.78711,-20.2759,-29.6387
1789591954.0202563,STATIC_3,3,-2491.0,4584.0,3300.0,-6.84204,-20.0562,-29.6631
1789591954.1202693,STATIC_3,3,-2504.0,4604.0,3236.0,-6.7688,-20.2515,-29.7852
1789591954.2203174,STATIC_3,3,-2490.0,4582.0,3225.0,-6.82983,-20.2515,-29.8096
1789591954.3333163,STATIC_3,3,-2486.0,4585.0,3261.0,-6.80542,-20.2515,-29.8828
1789591954.4337254,STATIC_3,3,-2506.0,4604.0,3237.0,-6.79321,-20.2393,-29.834
