time_iso,unix_s,right_erpm,gnss_gspeed_mps,gnss_vel_norm_mps,ratio_erpm_per_mps,sat,dop,hacc_m,sacc_mps,gnss_measurement_age_s,erpm_pair_age_s,esc_right_age_ms,gnss_vel_sigma_mps,steering_deg,esc_fault,valid,reject_reason
2026-09-18T00:00:01.238,1789664401.238049,0.000,0.030000,0.030017,nan,16,0.730,0.624,0.372,0.038,0.005,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-18T00:00:01.339,1789664401.339967,0.000,0.006400,0.006403,nan,16,0.730,0.626,0.333,0.040,0.007,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-18T00:00:01.438,1789664401.438935,0.000,0.016300,0.016279,nan,16,0.730,0.628,0.349,0.039,0.005,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-18T00:00:01.641,1789664401.641288,0.000,0.049800,0.049820,nan,16,0.740,0.630,0.359,0.041,0.008,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-18T00:00:01.738,1789664401.738036,0.000,0.040100,0.040112,nan,16,0.740,0.631,0.315,0.038,0.005,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-18T00:00:01.841,1789664401.841982,0.000,0.012100,0.012083,nan,16,0.790,0.631,0.277,0.042,0.008,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-18T00:00:01.939,1789664401.939009,0.000,0.009000,0.009000,nan,16,0.800,0.631,0.221,0.039,0.006,0.0,nan,0.000,0,0,gnss_fix_not_ok;speed_low
2026-09-18T00:00:02.050,1789664402.050483,0.000,0.038600,0.038626,nan,16,0.800,0.630,0.280,0.050,0.017,0.0,0.2801,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:02.140,1789664402.140288,0.000,0.059100,0.059059,nan,16,0.800,0.629,0.271,0.040,0.008,0.0,0.2710,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:02.237,1789664402.237188,0.000,0.010200,0.010198,nan,16,0.800,0.627,0.243,0.037,0.004,0.0,0.2430,0.000,0,0,speed_low
2026-09-18T00:00:02.340,1789664402.340442,0.000,0.060000,0.060008,nan,16,0.800,0.625,0.156,0.040,0.007,0.0,0.1560,0.000,0,0,speed_low
2026-09-18T00:00:02.439,1789664402.439226,0.000,0.036100,0.036056,nan,16,0.800,0.624,0.248,0.039,0.006,0.0,0.2480,0.000,0,0,speed_low
2026-09-18T00:00:02.540,1789664402.540309,0.000,0.060000,0.060033,nan,16,0.800,0.622,0.209,0.040,0.007,0.0,0.2090,0.000,0,0,speed_low
2026-09-18T00:00:02.641,1789664402.641324,0.000,0.037000,0.037000,nan,16,0.800,0.621,0.226,0.041,0.008,0.0,0.2260,0.000,0,0,speed_low
2026-09-18T00:00:02.739,1789664402.739435,0.000,0.011200,0.011180,nan,16,0.800,0.621,0.291,0.039,0.006,0.0,0.2910,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:02.840,1789664402.840243,0.000,0.050900,0.050931,nan,16,0.780,0.622,0.284,0.040,0.007,0.0,0.2839,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:02.940,1789664402.940316,0.000,0.027300,0.027295,nan,16,0.740,0.623,0.292,0.040,0.007,0.0,0.2920,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.052,1789664403.052303,0.000,0.065100,0.065146,nan,16,0.740,0.623,0.304,0.052,0.020,0.0,0.3040,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.143,1789664403.143313,0.000,0.065800,0.065765,nan,16,0.740,0.624,0.300,0.043,0.010,0.0,0.3000,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.240,1789664403.240378,0.000,0.028300,0.028320,nan,16,0.740,0.624,0.296,0.040,0.007,0.0,0.2961,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.342,1789664403.342239,0.000,0.008100,0.008062,nan,16,0.800,0.624,0.237,0.042,0.009,0.0,0.2370,0.000,0,0,speed_low
2026-09-18T00:00:03.439,1789664403.439159,0.000,0.057700,0.057723,nan,16,0.800,0.624,0.255,0.039,0.006,0.0,0.2550,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.541,1789664403.541510,0.000,0.015300,0.015297,nan,16,0.740,0.623,0.281,0.041,0.009,0.0,0.2810,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.640,1789664403.640280,0.000,0.045700,0.045695,nan,16,0.740,0.622,0.231,0.040,0.007,0.0,0.2310,0.000,0,0,speed_low
2026-09-18T00:00:03.740,1789664403.740506,0.000,0.057600,0.057628,nan,16,0.740,0.622,0.260,0.040,0.008,0.0,0.2601,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:03.840,1789664403.840227,0.000,0.029700,0.029732,nan,16,0.740,0.621,0.236,0.040,0.007,0.0,0.2360,0.000,0,0,speed_low
2026-09-18T00:00:03.941,1789664403.941289,0.000,0.030600,0.030594,nan,16,0.740,0.620,0.274,0.041,0.008,0.0,0.2740,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:04.050,1789664404.050348,0.000,0.032800,0.032802,nan,16,0.740,0.619,0.274,0.050,0.017,0.0,0.2740,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:04.140,1789664404.140271,0.000,0.013000,0.013038,nan,16,0.740,0.618,0.215,0.040,0.007,0.0,0.2150,0.000,0,0,speed_low
2026-09-18T00:00:04.240,1789664404.240208,0.000,0.039300,0.039294,nan,16,0.740,0.617,0.257,0.040,0.007,0.0,0.2570,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:04.341,1789664404.341400,0.000,0.037800,0.037802,nan,16,0.740,0.616,0.274,0.041,0.009,0.0,0.2740,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:04.439,1789664404.439302,0.000,0.014900,0.014866,nan,16,0.780,0.615,0.204,0.039,0.006,0.0,0.2040,0.000,0,0,speed_low
2026-09-18T00:00:04.540,1789664404.540222,0.000,0.038600,0.038626,nan,16,0.800,0.614,0.255,0.040,0.007,0.0,0.2550,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:04.639,1789664404.639369,0.000,0.030400,0.030364,nan,16,0.760,0.613,0.237,0.039,0.006,0.0,0.2370,0.000,0,0,speed_low
2026-09-18T00:00:04.739,1789664404.739348,0.000,0.007100,0.007071,nan,16,0.760,0.612,0.267,0.039,0.006,0.0,0.2670,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:04.840,1789664404.840332,0.000,0.034000,0.033956,nan,16,0.760,0.611,0.237,0.040,0.008,0.0,0.2370,0.000,0,0,speed_low
2026-09-18T00:00:04.939,1789664404.939429,0.000,0.036200,0.036235,nan,16,0.760,0.610,0.207,0.039,0.006,0.0,0.2070,0.000,0,0,speed_low
2026-09-18T00:00:05.050,1789664405.050284,0.000,0.072100,0.072090,nan,16,0.770,0.609,0.257,0.050,0.017,0.0,0.2570,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:05.144,1789664405.144351,0.000,0.055100,0.055145,nan,16,0.760,0.608,0.257,0.044,0.012,0.0,0.2570,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:05.239,1789664405.239267,0.000,0.053500,0.053460,nan,16,0.800,0.607,0.234,0.039,0.006,0.0,0.2340,0.000,0,0,speed_low
2026-09-18T00:00:05.340,1789664405.340333,0.000,0.025300,0.025318,nan,16,0.760,0.606,0.261,0.040,0.007,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:05.440,1789664405.440336,0.000,0.056100,0.056080,nan,16,0.800,0.605,0.261,0.040,0.007,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:05.539,1789664405.539302,0.000,0.038800,0.038833,nan,16,0.800,0.604,0.237,0.039,0.006,0.0,0.2370,0.000,0,0,speed_low
2026-09-18T00:00:05.640,1789664405.640443,0.000,0.036100,0.036056,nan,16,0.800,0.603,0.262,0.040,0.007,0.0,0.2620,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:05.741,1789664405.741998,0.000,0.020400,0.020396,nan,16,0.800,0.602,0.232,0.040,0.009,0.0,0.2320,0.000,0,0,speed_low
2026-09-18T00:00:05.839,1789664405.839229,0.000,0.036200,0.036235,nan,16,0.770,0.602,0.247,0.039,0.006,0.0,0.2470,0.000,0,0,speed_low
2026-09-18T00:00:05.940,1789664405.940173,0.000,0.010400,0.010440,nan,16,0.740,0.602,0.252,0.040,0.007,0.0,0.2519,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.051,1789664406.051226,0.000,0.081000,0.081006,nan,16,0.740,0.601,0.255,0.051,0.018,0.0,0.2550,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.139,1789664406.139271,0.000,0.032600,0.032650,nan,16,0.740,0.601,0.282,0.039,0.006,0.0,0.2820,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.239,1789664406.239182,0.000,0.024200,0.024207,nan,16,0.740,0.601,0.286,0.039,0.006,0.0,0.2860,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.340,1789664406.340398,0.000,0.001000,0.001000,nan,16,0.740,0.601,0.282,0.040,0.007,0.0,0.2820,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.439,1789664406.439224,0.000,0.005000,0.005000,nan,16,0.740,0.600,0.238,0.039,0.006,0.0,0.2380,0.000,0,0,speed_low
2026-09-18T00:00:06.541,1789664406.541233,0.000,0.029700,0.029732,nan,16,0.740,0.600,0.241,0.041,0.008,0.0,0.2410,0.000,0,0,speed_low
2026-09-18T00:00:06.640,1789664406.640260,0.000,0.055600,0.055606,nan,16,0.740,0.599,0.266,0.040,0.007,0.0,0.2660,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.739,1789664406.739308,0.000,0.032700,0.032696,nan,16,0.740,0.599,0.278,0.039,0.007,0.0,0.2780,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.839,1789664406.839428,0.000,0.030700,0.030676,nan,16,0.740,0.599,0.266,0.039,0.007,0.0,0.2660,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:06.942,1789664406.942246,0.000,0.018200,0.018248,nan,16,0.740,0.598,0.258,0.042,0.009,0.0,0.2580,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:07.049,1789664407.049435,0.000,0.005000,0.005000,nan,16,0.740,0.598,0.259,0.049,0.017,0.0,0.2590,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:07.141,1789664407.141290,0.000,0.028600,0.028636,nan,16,0.740,0.597,0.255,0.041,0.008,0.0,0.2550,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:07.240,1789664407.240376,0.000,0.048100,0.048083,nan,16,0.740,0.596,0.252,0.040,0.007,0.0,0.2519,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:07.340,1789664407.340249,0.000,0.043000,0.042953,nan,16,0.740,0.596,0.263,0.040,0.007,0.0,0.2630,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:07.439,1789664407.439394,0.000,0.034200,0.034176,nan,16,0.740,0.595,0.227,0.039,0.006,0.0,0.2270,0.000,0,0,speed_low
2026-09-18T00:00:07.540,1789664407.540529,0.000,0.074300,0.074330,nan,16,0.740,0.594,0.246,0.040,0.007,0.0,0.2460,0.000,0,0,speed_low
2026-09-18T00:00:07.640,1789664407.640323,0.000,0.053300,0.053263,nan,16,0.800,0.593,0.206,0.040,0.008,0.0,0.2060,0.000,0,0,speed_low
2026-09-18T00:00:07.740,1789664407.740206,0.000,0.010200,0.010198,nan,16,0.780,0.592,0.230,0.040,0.007,0.0,0.2300,0.000,0,0,speed_low
2026-09-18T00:00:07.840,1789664407.840337,0.000,0.024000,0.024000,nan,16,0.780,0.591,0.173,0.040,0.008,0.0,0.1730,0.000,0,0,speed_low
2026-09-18T00:00:07.940,1789664407.940243,0.000,0.030100,0.030083,nan,16,0.780,0.590,0.248,0.040,0.007,0.0,0.2480,0.000,0,0,speed_low
2026-09-18T00:00:08.050,1789664408.050254,0.000,0.026900,0.026926,nan,16,0.780,0.589,0.223,0.050,0.017,0.0,0.2230,0.000,0,0,speed_low
2026-09-18T00:00:08.145,1789664408.145432,0.000,0.015300,0.015297,nan,16,0.780,0.588,0.205,0.045,0.013,0.0,0.2050,0.000,0,0,speed_low
2026-09-18T00:00:08.239,1789664408.239256,0.000,0.027700,0.027731,nan,16,0.780,0.587,0.219,0.039,0.006,0.0,0.2190,0.000,0,0,speed_low
2026-09-18T00:00:08.339,1789664408.339270,0.000,0.033200,0.033242,nan,16,0.780,0.586,0.254,0.039,0.006,0.0,0.2540,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:08.439,1789664408.439174,0.000,0.034100,0.034132,nan,16,0.780,0.585,0.261,0.039,0.006,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:08.538,1789664408.538236,0.000,0.017100,0.017117,nan,16,0.780,0.584,0.261,0.038,0.005,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:08.640,1789664408.640237,0.000,0.047000,0.047011,nan,16,0.780,0.583,0.205,0.040,0.007,0.0,0.2050,0.000,0,0,speed_low
2026-09-18T00:00:08.743,1789664408.743443,0.000,0.059500,0.059540,nan,16,0.730,0.582,0.233,0.043,0.010,0.0,0.2330,0.000,0,0,speed_low
2026-09-18T00:00:08.839,1789664408.839357,0.000,0.027500,0.027459,nan,16,0.730,0.582,0.196,0.039,0.006,0.0,0.1960,0.000,0,0,speed_low
2026-09-18T00:00:08.940,1789664408.940417,0.000,0.047400,0.047381,nan,16,0.780,0.582,0.268,0.040,0.008,0.0,0.2680,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.048,1789664409.048561,0.000,0.051000,0.051000,nan,16,0.780,0.582,0.273,0.048,0.015,0.0,0.2730,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.145,1789664409.145362,0.000,0.035600,0.035609,nan,16,0.780,0.581,0.271,0.045,0.013,0.0,0.2710,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.240,1789664409.240248,0.000,0.079900,0.079906,nan,16,0.780,0.581,0.271,0.040,0.007,0.0,0.2710,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.341,1789664409.341336,0.000,0.023600,0.023601,nan,16,0.780,0.581,0.276,0.041,0.008,0.0,0.2760,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.439,1789664409.439266,0.000,0.051100,0.051078,nan,16,0.780,0.580,0.269,0.039,0.006,0.0,0.2690,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.538,1789664409.538268,0.000,0.084900,0.084876,nan,16,0.790,0.580,0.266,0.038,0.005,0.0,0.2660,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.640,1789664409.640300,0.000,0.009400,0.009434,nan,16,0.790,0.579,0.265,0.040,0.007,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.740,1789664409.740289,0.000,0.035500,0.035511,nan,16,0.790,0.579,0.269,0.040,0.007,0.0,0.2690,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:09.840,1789664409.840376,0.000,0.037600,0.037643,nan,16,0.780,0.578,0.249,0.040,0.008,0.0,0.2490,0.000,0,0,speed_low
2026-09-18T00:00:09.940,1789664409.940305,0.000,0.041700,0.041725,nan,16,0.780,0.577,0.266,0.040,0.006,0.0,0.2660,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:10.047,1789664410.047385,0.000,0.011200,0.011180,nan,16,0.780,0.577,0.273,0.047,0.014,0.0,0.2730,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:10.142,1789664410.142331,0.000,0.032200,0.032249,nan,16,0.780,0.576,0.255,0.042,0.009,0.0,0.2550,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:10.240,1789664410.240384,0.000,0.043300,0.043290,nan,16,0.780,0.576,0.277,0.040,0.007,0.0,0.2770,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:10.340,1789664410.340336,0.000,0.030100,0.030083,nan,16,0.780,0.575,0.239,0.040,0.008,0.0,0.2390,0.000,0,0,speed_low
2026-09-18T00:00:10.439,1789664410.439451,0.000,0.032900,0.032894,nan,16,0.780,0.574,0.187,0.039,0.006,0.0,0.1870,0.000,0,0,speed_low
2026-09-18T00:00:10.539,1789664410.539407,0.000,0.009800,0.009849,nan,16,0.730,0.574,0.218,0.039,0.007,0.0,0.2180,0.000,0,0,speed_low
2026-09-18T00:00:10.640,1789664410.640332,0.000,0.050000,0.050000,nan,16,0.730,0.573,0.204,0.040,0.007,0.0,0.2040,0.000,0,0,speed_low
2026-09-18T00:00:10.740,1789664410.740246,0.000,0.015300,0.015264,nan,16,0.730,0.573,0.224,0.040,0.008,0.0,0.2240,0.000,0,0,speed_low
2026-09-18T00:00:10.840,1789664410.840346,0.000,0.023800,0.023770,nan,16,0.730,0.572,0.229,0.040,0.007,0.0,0.2290,0.000,0,0,speed_low
2026-09-18T00:00:10.939,1789664410.939251,0.000,0.041100,0.041110,nan,16,0.730,0.571,0.242,0.039,0.006,0.0,0.2420,0.000,0,0,speed_low
2026-09-18T00:00:11.048,1789664411.048522,0.000,0.014100,0.014142,nan,16,0.730,0.571,0.276,0.048,0.015,0.0,0.2760,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:11.142,1789664411.142223,0.000,0.034700,0.034670,nan,16,0.730,0.571,0.266,0.042,0.009,0.0,0.2660,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:11.240,1789664411.240464,0.000,0.042000,0.042012,nan,16,0.730,0.570,0.235,0.040,0.007,0.0,0.2350,0.000,0,0,speed_low
2026-09-18T00:00:11.340,1789664411.340310,0.000,0.027800,0.027803,nan,16,0.730,0.570,0.261,0.040,0.007,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:11.440,1789664411.440198,0.000,0.040200,0.040162,nan,16,0.730,0.569,0.218,0.040,0.007,0.0,0.2180,0.000,0,0,speed_low
2026-09-18T00:00:11.539,1789664411.539221,0.000,0.088200,0.088193,nan,16,0.730,0.568,0.238,0.039,0.005,0.0,0.2380,0.000,0,0,speed_low
2026-09-18T00:00:11.639,1789664411.639264,0.000,0.032000,0.032016,nan,16,0.730,0.568,0.245,0.039,0.005,0.0,0.2450,0.000,0,0,speed_low
2026-09-18T00:00:11.741,1789664411.741519,0.000,0.045900,0.045891,nan,16,0.730,0.567,0.268,0.040,0.008,0.0,0.2680,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:11.840,1789664411.840254,0.000,0.059200,0.059237,nan,16,0.730,0.567,0.256,0.040,0.007,0.0,0.2560,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:11.940,1789664411.940307,0.000,0.011400,0.011402,nan,16,0.730,0.567,0.281,0.040,0.007,0.0,0.2810,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.048,1789664412.048425,0.000,0.059200,0.059228,nan,16,0.730,0.567,0.255,0.048,0.016,0.0,0.2550,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.141,1789664412.141265,0.000,0.008500,0.008544,nan,16,0.730,0.567,0.253,0.041,0.008,0.0,0.2530,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.240,1789664412.240235,0.000,0.008200,0.008246,nan,16,0.730,0.566,0.262,0.040,0.007,0.0,0.2620,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.341,1789664412.341310,0.000,0.042200,0.042190,nan,16,0.730,0.565,0.268,0.041,0.009,0.0,0.2680,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.440,1789664412.440236,0.000,0.047900,0.047927,nan,16,0.730,0.565,0.259,0.040,0.007,0.0,0.2590,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.540,1789664412.540264,0.000,0.039400,0.039395,nan,16,0.730,0.564,0.268,0.040,0.007,0.0,0.2680,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.640,1789664412.640269,0.000,0.031800,0.031765,nan,16,0.730,0.564,0.266,0.040,0.007,0.0,0.2660,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:12.739,1789664412.739304,0.000,0.060200,0.060208,nan,16,0.730,0.563,0.248,0.039,0.006,0.0,0.2480,0.000,0,0,speed_low
2026-09-18T00:00:12.840,1789664412.840390,0.000,0.066800,0.066761,nan,16,0.730,0.563,0.244,0.040,0.008,0.0,0.2440,0.000,0,0,speed_low
2026-09-18T00:00:12.940,1789664412.940231,0.000,0.035400,0.035355,nan,16,0.730,0.562,0.243,0.040,0.007,0.0,0.2430,0.000,0,0,speed_low
2026-09-18T00:00:13.050,1789664413.050300,0.000,0.007100,0.007071,nan,16,0.730,0.561,0.200,0.050,0.017,0.0,0.2000,0.000,0,0,speed_low
2026-09-18T00:00:13.142,1789664413.142407,0.000,0.017100,0.017088,nan,16,0.730,0.561,0.258,0.042,0.009,0.0,0.2580,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:13.240,1789664413.240335,0.000,0.042000,0.042048,nan,16,0.780,0.560,0.243,0.040,0.008,0.0,0.2430,0.000,0,0,speed_low
2026-09-18T00:00:13.340,1789664413.340243,0.000,0.033800,0.033838,nan,16,0.780,0.559,0.226,0.040,0.007,0.0,0.2260,0.000,0,0,speed_low
2026-09-18T00:00:13.439,1789664413.439344,0.000,0.022800,0.022847,nan,16,0.780,0.559,0.265,0.039,0.007,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:13.541,1789664413.541284,0.000,0.042200,0.042190,nan,16,0.780,0.558,0.237,0.041,0.008,0.0,0.2370,0.000,0,0,speed_low
2026-09-18T00:00:13.639,1789664413.639363,0.000,0.015700,0.015652,nan,16,0.780,0.558,0.245,0.039,0.007,0.0,0.2450,0.000,0,0,speed_low
2026-09-18T00:00:13.740,1789664413.740211,0.000,0.045100,0.045122,nan,16,0.780,0.557,0.187,0.040,0.007,0.0,0.1870,0.000,0,0,speed_low
2026-09-18T00:00:13.841,1789664413.841382,0.000,0.017000,0.016971,nan,16,0.730,0.557,0.265,0.041,0.008,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:13.937,1789664413.937197,0.000,0.050500,0.050478,nan,16,0.730,0.557,0.237,0.037,0.004,0.0,0.2370,0.000,0,0,speed_low
2026-09-18T00:00:14.050,1789664414.050336,0.000,0.014400,0.014422,nan,16,0.730,0.556,0.249,0.050,0.017,0.0,0.2490,0.000,0,0,speed_low
2026-09-18T00:00:14.141,1789664414.141309,0.000,0.037900,0.037947,nan,16,0.780,0.556,0.250,0.041,0.008,0.0,0.2500,0.000,0,0,speed_low
2026-09-18T00:00:14.239,1789664414.239363,0.000,0.050300,0.050329,nan,16,0.780,0.556,0.269,0.039,0.007,0.0,0.2690,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:14.342,1789664414.342230,0.000,0.037300,0.037336,nan,16,0.730,0.555,0.251,0.042,0.009,0.0,0.2510,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:14.440,1789664414.440353,0.000,0.062400,0.062394,nan,16,0.730,0.555,0.257,0.040,0.007,0.0,0.2570,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:14.539,1789664414.539215,0.000,0.038200,0.038210,nan,16,0.730,0.554,0.269,0.039,0.006,0.0,0.2690,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:14.639,1789664414.639440,0.000,0.040500,0.040497,nan,16,0.730,0.554,0.213,0.039,0.006,0.0,0.2130,0.000,0,0,speed_low
2026-09-18T00:00:14.741,1789664414.741438,0.000,0.039100,0.039115,nan,16,0.730,0.553,0.262,0.041,0.007,0.0,0.2620,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:14.841,1789664414.841291,0.000,0.044300,0.044283,nan,16,0.730,0.553,0.273,0.041,0.008,0.0,0.2730,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:14.939,1789664414.939207,0.000,0.078200,0.078160,nan,16,0.730,0.554,0.251,0.039,0.006,0.0,0.2510,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:15.050,1789664415.050422,0.000,0.010800,0.010770,nan,16,0.730,0.554,0.245,0.050,0.017,0.0,0.2450,0.000,0,0,speed_low
2026-09-18T00:00:15.142,1789664415.142260,0.000,0.028200,0.028160,nan,16,0.730,0.554,0.226,0.042,0.009,0.0,0.2260,0.000,0,0,speed_low
2026-09-18T00:00:15.240,1789664415.240454,0.000,0.045300,0.045310,nan,16,0.770,0.555,0.228,0.040,0.007,0.0,0.2280,0.000,0,0,speed_low
2026-09-18T00:00:15.341,1789664415.341350,0.000,0.021000,0.021024,nan,16,0.730,0.555,0.281,0.041,0.008,0.0,0.2810,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:15.440,1789664415.440540,0.000,0.037100,0.037121,nan,16,0.730,0.555,0.284,0.040,0.007,0.0,0.2839,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:15.540,1789664415.540354,0.000,0.034700,0.034713,nan,16,0.730,0.556,0.291,0.040,0.006,0.0,0.2910,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:15.641,1789664415.641342,0.000,0.027800,0.027803,nan,16,0.730,0.556,0.210,0.041,0.007,0.0,0.2100,0.000,0,0,speed_low
2026-09-18T00:00:15.739,1789664415.739395,0.000,0.029100,0.029069,nan,16,0.730,0.556,0.253,0.039,0.006,0.0,0.2530,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:15.840,1789664415.840312,0.000,0.029200,0.029155,nan,16,0.730,0.557,0.228,0.040,0.006,0.0,0.2280,0.000,0,0,speed_low
2026-09-18T00:00:15.939,1789664415.939360,0.000,0.030500,0.030463,nan,16,0.730,0.557,0.265,0.039,0.005,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.050,1789664416.050393,0.000,0.072600,0.072567,nan,16,0.730,0.557,0.268,0.050,0.017,0.0,0.2680,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.141,1789664416.141223,0.000,0.026400,0.026401,nan,16,0.770,0.557,0.276,0.041,0.007,0.0,0.2760,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.241,1789664416.241353,0.000,0.018400,0.018358,nan,16,0.730,0.558,0.292,0.041,0.007,0.0,0.2920,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.342,1789664416.342304,0.000,0.023300,0.023345,nan,16,0.730,0.558,0.252,0.042,0.008,0.0,0.2519,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.438,1789664416.438246,0.000,0.021100,0.021095,nan,16,0.730,0.558,0.291,0.038,0.003,0.0,0.2910,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.540,1789664416.540364,0.000,0.017200,0.017205,nan,16,0.730,0.558,0.275,0.040,0.006,0.0,0.2750,0.000,0,0,sacc_high;speed_low
2026-09-18T00:00:16.640,1789664416.640401,0.000,0.008600,0.008602,nan,16,0.730,0.558,0.259,0.040,0.006,0.0,0.2590,0.000,0,0,sacc_high;speed_low
