t_s,map_x,map_y,map_yaw,map_vx,local_x,local_y,local_yaw,local_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,estop,ready,feedback,autonomy_gate,heading_valid,yaw_inertial,yaw_neo3,distance_remaining
0.04003005100003065,129.62919937942843,101.43449787199401,0.007118379615062676,-0.028291472933322515,0.00395182016558699,-6.1719164689459445e-09,2.514810275577872e-05,0.02095381794119531,0.005475969921951677,0.0,0.0,0.046249998918918886,-0.017,0.052,0.027,0.05470831746635972,0.0,0.0,0.0,0.046249998918918886,204.0,0.0,NAV2,False,True,True,True,,,1.3845249331849396,0.0
0.08360604700010299,129.62919937942843,101.43449787199401,0.007118379615062676,-0.028291472933322515,0.0070703413832495015,-1.0154735667830343e-08,-4.2212560991572445e-05,0.031194131596963905,0.0070993938001810575,0.0,0.0,0.04058210689454157,0.039,0.058,-0.02,0.06989277502002621,0.0,0.0,0.0,0.04058210689454157,179.0,0.0,NAV2,False,True,True,True,,,1.3827346798636024,0.0
0.12457215299946256,129.6288869351078,101.43870358205463,0.007091540579958089,-0.027288132215900294,0.008327448903626503,-6.60155755875304e-08,-7.856191787025678e-05,0.03297776542652757,0.008736657678399432,0.0,0.0,0.04058210689454157,0.039,0.058,-0.02,0.06989277502002621,0.0,0.0,0.0,0.04058210689454157,160.0,0.0,NAV2,False,True,True,True,,,1.3823407769177203,0.0
0.16567500499968446,129.6288869351078,101.43870358205463,0.007091540579958089,-0.027288132215900294,0.009627597518293625,-7.91984295245833e-08,4.244060276548111e-07,0.034820040406354766,0.01017477375360739,0.0,0.0,0.03627450895601481,-0.027,-0.06,0.002,0.06579513659838393,0.0,0.0,0.0,0.03627450895601481,160.0,0.0,NAV2,False,True,True,True,,,1.3819438619282682,0.0
0.21014220500001102,129.6288869351078,101.43870358205463,0.007091540579958089,-0.027288132215900294,0.010839880953580594,-3.5369150004238624e-08,7.693279730958126e-05,0.03570401911547476,0.011624986253042402,0.0,0.0,0.03627450895601481,-0.027,-0.06,0.002,0.06579513659838393,0.0,0.0,0.0,0.03627450895601481,160.0,0.0,NAV2,False,True,True,True,,,1.3793712499839554,0.0
0.2516118630001074,129.62995113678758,101.44304888818952,0.007164848994678064,-0.024795296400877073,0.013255127931110758,-9.290480619256786e-09,-9.184356103419943e-05,0.03689648579988106,0.013089660456060944,0.0,0.0,0.03627450895601481,-0.027,-0.06,0.002,0.06579513659838393,0.0,0.0,0.0,0.03627450895601481,128.0,0.0,NAV2,False,True,True,True,,,1.3824411816780797,0.0
0.29193830999975035,129.62995113678758,101.44304888818952,0.007164848994678064,-0.024795296400877073,0.014179717546831401,-8.021863424822328e-08,-9.100755129232141e-05,0.03547883521581123,0.014243865852611119,0.0,0.0,0.02901960716481185,-0.013,0.009,-0.022,0.015811388300841896,0.0,0.0,0.0,0.02901960716481185,128.0,0.0,NAV2,False,True,True,True,,,1.3842261699523284,0.0
0.33213139999952546,129.63138896872027,101.44641446623265,0.006973892742867084,-0.02235550358043982,0.015232665845197339,-1.0557912640965307e-07,4.5108657218850816e-05,0.03516831655256004,0.015408856212046454,0.0,0.0,0.02901960716481185,-0.013,0.009,-0.022,0.015811388300841896,0.0,0.0,0.0,0.02901960716481185,128.0,0.0,NAV2,False,True,True,True,,,1.3844231967696323,3.5538227558135986
0.3752557469997555,129.63138896872027,101.44641446623265,0.006973892742867084,-0.02235550358043982,0.016159638878300867,-8.150752181391162e-08,6.111627340255053e-05,0.0341513127506282,0.01656101880236987,0.0,0.0,0.02901960716481185,0.097,-0.025,-0.093,0.10016985574512924,0.0,0.0,0.0,0.02901960716481185,128.0,0.0,NAV2,False,True,True,True,,,1.3812480595000916,3.5538227558135986
0.4160582209997301,129.63138896872027,101.44641446623265,0.006973892742867084,-0.02235550358043982,0.017098223842295476,-6.653387701444898e-08,-2.0212873389713337e-05,0.033337452095636426,0.017721313876424758,0.0,0.0,0.02901960716481185,0.097,-0.025,-0.093,0.10016985574512924,0.0,0.0,0.0,0.02901960716481185,128.0,0.0,NAV2,False,True,True,True,,,1.3838290125058788,3.5538227558135986
