time_iso,gnss_mps,right_erpm,yaw_rate_rps,yaw_error_to_goal_rad,goal_distance_m
2026-09-18T00:34:27.078,nan,nan,nan,nan,nan
2026-09-18T00:34:27.278,nan,nan,nan,nan,nan
2026-09-18T00:34:27.478,nan,nan,nan,nan,nan
2026-09-18T00:34:27.678,nan,nan,nan,nan,nan
2026-09-18T00:34:27.878,nan,nan,nan,nan,nan
2026-09-18T00:34:28.078,nan,nan,nan,nan,nan
2026-09-18T00:34:28.278,nan,nan,nan,nan,nan
2026-09-18T00:34:28.478,nan,nan,nan,nan,nan
2026-09-18T00:34:28.678,nan,nan,nan,nan,nan
2026-09-18T00:34:28.878,nan,nan,nan,nan,nan
2026-09-18T00:34:29.078,nan,nan,nan,nan,nan
2026-09-18T00:34:29.278,nan,nan,nan,nan,nan
2026-09-18T00:34:29.478,nan,nan,nan,nan,nan
2026-09-18T00:34:29.678,nan,nan,nan,nan,nan
2026-09-18T00:34:29.878,nan,nan,nan,nan,nan
2026-09-18T00:34:30.078,nan,nan,nan,nan,nan
2026-09-18T00:34:30.278,nan,nan,nan,nan,nan
2026-09-18T00:34:30.478,nan,nan,nan,nan,nan
2026-09-18T00:34:30.678,nan,nan,nan,nan,nan
2026-09-18T00:34:30.878,nan,nan,nan,nan,nan
2026-09-18T00:34:31.078,nan,nan,nan,nan,nan
2026-09-18T00:34:31.278,nan,nan,nan,nan,nan
2026-09-18T00:34:31.478,nan,nan,nan,nan,nan
2026-09-18T00:34:31.678,nan,0.000,nan,nan,nan
2026-09-18T00:34:31.878,nan,0.000,0.000000,nan,nan
2026-09-18T00:34:32.078,0.024000,0.000,0.000000,nan,nan
2026-09-18T00:34:32.278,0.018000,0.000,0.000000,nan,nan
2026-09-18T00:34:32.478,0.033500,0.000,0.000000,nan,nan
2026-09-18T00:34:32.678,0.023100,0.000,0.000000,nan,nan
2026-09-18T00:34:32.878,0.033500,0.000,0.000000,nan,nan
2026-09-18T00:34:33.078,0.027300,0.000,-0.006392,nan,nan
2026-09-18T00:34:33.278,0.090800,0.000,-0.004261,nan,nan
2026-09-18T00:34:33.478,0.055900,-26.000,0.002131,nan,nan
2026-09-18T00:34:33.678,0.028300,-44.000,-0.002131,nan,nan
2026-09-18T00:34:33.878,0.144800,-44.000,0.000000,nan,nan
2026-09-18T00:34:34.078,0.037300,-44.000,0.000000,nan,nan
2026-09-18T00:34:34.278,0.051500,0.000,0.000000,nan,nan
2026-09-18T00:34:34.478,0.038100,0.000,0.010653,nan,nan
2026-09-18T00:34:34.678,0.133000,440.000,-0.007457,nan,nan
2026-09-18T00:34:34.878,0.170300,837.000,-0.019175,nan,nan
2026-09-18T00:34:35.078,0.239100,569.000,-0.019175,nan,nan
2026-09-18T00:34:35.278,0.123800,792.000,0.011718,nan,nan
2026-09-18T00:34:35.478,0.142300,707.000,-0.023436,nan,nan
2026-09-18T00:34:35.678,0.033900,225.000,0.000000,nan,nan
2026-09-18T00:34:35.878,0.070900,192.000,0.000000,nan,nan
2026-09-18T00:34:36.078,0.032100,192.000,0.000000,nan,nan
2026-09-18T00:34:36.278,0.028000,0.000,0.000000,nan,nan
2026-09-18T00:34:36.478,0.076300,0.000,0.000000,nan,nan
2026-09-18T00:34:36.678,0.051400,0.000,0.000000,nan,nan
2026-09-18T00:34:36.878,0.046700,0.000,0.000000,nan,nan
2026-09-18T00:34:37.078,0.046300,0.000,0.000000,nan,nan
2026-09-18T00:34:37.278,0.015300,0.000,0.000000,nan,nan
2026-09-18T00:34:37.478,0.128300,0.000,0.000000,nan,nan
2026-09-18T00:34:37.678,0.114300,0.000,0.000000,nan,nan
2026-09-18T00:34:37.878,0.007600,0.000,0.000000,nan,nan
2026-09-18T00:34:38.079,0.026400,0.000,0.000000,nan,nan
2026-09-18T00:34:38.278,0.050600,0.000,0.000000,nan,nan
2026-09-18T00:34:38.478,0.075600,0.000,0.000000,nan,nan
2026-09-18T00:34:38.679,0.045500,0.000,0.000000,nan,nan
2026-09-18T00:34:38.878,0.039600,0.000,0.000000,nan,nan
2026-09-18T00:34:39.079,0.059100,0.000,0.000000,nan,nan
2026-09-18T00:34:39.279,0.027100,0.000,0.000000,nan,nan
2026-09-18T00:34:39.478,0.036100,0.000,0.000000,nan,nan
2026-09-18T00:34:39.678,0.024700,0.000,0.000000,nan,nan
2026-09-18T00:34:39.879,0.031100,0.000,0.000000,nan,nan
2026-09-18T00:34:40.078,0.050000,0.000,0.000000,nan,nan
2026-09-18T00:34:40.278,0.013600,0.000,0.000000,nan,nan
2026-09-18T00:34:40.478,0.024200,0.000,0.000000,nan,nan
2026-09-18T00:34:40.678,0.040400,0.000,0.000000,nan,nan
2026-09-18T00:34:40.878,0.020600,0.000,0.000000,nan,nan
2026-09-18T00:34:41.078,0.026200,0.000,0.000000,nan,nan
2026-09-18T00:34:41.278,0.024400,0.000,0.000000,nan,nan
2026-09-18T00:34:41.478,0.032700,0.000,0.000000,nan,nan
2026-09-18T00:34:41.678,0.014200,0.000,0.000000,nan,nan
2026-09-18T00:34:41.878,0.081800,0.000,0.000000,nan,nan
2026-09-18T00:34:42.078,0.039800,0.000,0.000000,nan,nan
2026-09-18T00:34:42.278,0.116500,0.000,0.000000,nan,nan
2026-09-18T00:34:42.478,0.034700,0.000,0.000000,nan,nan
2026-09-18T00:34:42.678,0.023300,0.000,0.000000,nan,nan
2026-09-18T00:34:42.878,0.018000,0.000,0.000000,nan,nan
2026-09-18T00:34:43.078,0.048000,0.000,0.000000,nan,nan
2026-09-18T00:34:43.278,0.085500,0.000,0.000000,nan,nan
2026-09-18T00:34:43.478,0.013600,0.000,0.000000,nan,nan
2026-09-18T00:34:43.678,0.059500,0.000,0.000000,nan,nan
2026-09-18T00:34:43.878,0.047700,0.000,0.000000,nan,nan
2026-09-18T00:34:44.078,0.030900,0.000,0.000000,nan,nan
2026-09-18T00:34:44.278,0.010200,0.000,0.000000,nan,nan
2026-09-18T00:34:44.478,0.052300,0.000,0.000000,nan,nan
2026-09-18T00:34:44.678,0.184200,0.000,0.000000,nan,nan
2026-09-18T00:34:44.878,0.057600,0.000,0.000000,nan,nan
2026-09-18T00:34:45.078,0.036400,0.000,0.000000,nan,nan
2026-09-18T00:34:45.278,0.036800,0.000,0.000000,nan,nan
2026-09-18T00:34:45.478,0.045500,0.000,0.000000,nan,nan
2026-09-18T00:34:45.678,0.018700,0.000,0.000000,nan,nan
2026-09-18T00:34:45.878,0.032200,0.000,0.000000,nan,nan
2026-09-18T00:34:46.078,0.015300,0.000,0.000000,nan,nan
2026-09-18T00:34:46.278,0.050100,0.000,0.000000,nan,nan
2026-09-18T00:34:46.478,0.048000,0.000,0.000000,nan,nan
2026-09-18T00:34:46.678,0.021600,0.000,0.000000,nan,nan
2026-09-18T00:34:46.878,0.018400,0.000,0.000000,nan,nan
2026-09-18T00:34:47.078,0.019600,0.000,0.000000,nan,nan
2026-09-18T00:34:47.278,0.025300,0.000,0.000000,nan,nan
2026-09-18T00:34:47.478,0.027800,0.000,0.000000,nan,nan
2026-09-18T00:34:47.678,0.054400,0.000,0.000000,nan,nan
2026-09-18T00:34:47.878,0.084600,0.000,0.000000,nan,nan
2026-09-18T00:34:48.078,0.076000,0.000,0.000000,nan,nan
2026-09-18T00:34:48.278,0.032600,0.000,0.000000,nan,nan
2026-09-18T00:34:48.478,0.010400,0.000,0.000000,nan,nan
2026-09-18T00:34:48.678,0.001400,0.000,0.000000,nan,nan
2026-09-18T00:34:48.878,0.021400,0.000,0.000000,nan,nan
2026-09-18T00:34:49.078,0.021000,0.000,0.000000,nan,nan
2026-09-18T00:34:49.278,0.008500,0.000,0.000000,nan,nan
2026-09-18T00:34:49.478,0.023800,0.000,0.000000,nan,nan
2026-09-18T00:34:49.678,0.066800,0.000,0.000000,nan,nan
2026-09-18T00:34:49.878,0.016000,0.000,0.000000,nan,nan
2026-09-18T00:34:50.078,0.024800,0.000,0.000000,nan,nan
2026-09-18T00:34:50.278,0.022700,0.000,0.000000,nan,nan
2026-09-18T00:34:50.478,0.097500,0.000,0.000000,nan,nan
2026-09-18T00:34:50.678,0.006400,0.000,0.000000,nan,nan
2026-09-18T00:34:50.878,0.024800,0.000,0.000000,nan,nan
2026-09-18T00:34:51.079,0.043400,0.000,0.000000,nan,nan
2026-09-18T00:34:51.278,0.071800,0.000,0.000000,nan,nan
2026-09-18T00:34:51.478,0.062100,0.000,0.000000,nan,nan
2026-09-18T00:34:51.678,0.023200,0.000,0.000000,nan,nan
2026-09-18T00:34:51.878,0.078200,0.000,0.000000,nan,nan
2026-09-18T00:34:52.078,0.112100,0.000,0.000000,nan,nan
